pref_name,target_chembl_id,target_type
Electron transfer flavoprotein subunit beta,CHEMBL4105744,SINGLE PROTEIN
DNA replication licensing factor MCM4,CHEMBL4105745,SINGLE PROTEIN
Myosin-10,CHEMBL4105746,SINGLE PROTEIN
Structural maintenance of chromosomes protein 1A,CHEMBL4105747,SINGLE PROTEIN
Peroxisomal acyl-coenzyme A oxidase 1,CHEMBL4105748,SINGLE PROTEIN
Receptor-type tyrosine-protein phosphatase O,CHEMBL4105749,SINGLE PROTEIN
Diacylglycerol kinase beta,CHEMBL4105755,SINGLE PROTEIN
STE20-related kinase adapter protein beta,CHEMBL4105756,SINGLE PROTEIN
Butyrophilin subfamily 3 member A1,CHEMBL4105758,SINGLE PROTEIN
Interleukin-1 receptor-associated kinase-like 2,CHEMBL4105759,SINGLE PROTEIN
Probable ATP-dependent RNA helicase DDX17,CHEMBL4105760,SINGLE PROTEIN
Ubiquitin-conjugating enzyme E2 T,CHEMBL4105763,SINGLE PROTEIN
Ubiquitin-conjugating enzyme E2 D1,CHEMBL4105766,SINGLE PROTEIN
Anoctamin-2,CHEMBL4105767,SINGLE PROTEIN
MICOS complex subunit MIC60,CHEMBL4105768,SINGLE PROTEIN
CCR4-NOT transcription complex subunit 3,CHEMBL4105769,SINGLE PROTEIN
CCR4-NOT transcription complex subunit 4,CHEMBL4105770,SINGLE PROTEIN
Peflin,CHEMBL4105771,SINGLE PROTEIN
Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B,CHEMBL4105772,SINGLE PROTEIN
Serine/threonine-protein phosphatase 6 regulatory subunit 3,CHEMBL4105773,SINGLE PROTEIN
Serine/threonine-protein phosphatase 6 regulatory subunit 1,CHEMBL4105774,SINGLE PROTEIN
Meprin A subunit alpha,CHEMBL4105775,SINGLE PROTEIN
"Superoxide dismutase [Mn], mitochondrial",CHEMBL4105776,SINGLE PROTEIN
"Galactoside alpha-(1,2)-fucosyltransferase 2",CHEMBL4105777,SINGLE PROTEIN
Midasin,CHEMBL4105779,SINGLE PROTEIN
GTP-binding protein 4,CHEMBL4105780,SINGLE PROTEIN
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13,CHEMBL4105781,SINGLE PROTEIN
ATP-dependent RNA helicase DDX42,CHEMBL4105782,SINGLE PROTEIN
Probable ATP-dependent RNA helicase DDX6,CHEMBL4105783,SINGLE PROTEIN
Ras-related protein Rab-7a,CHEMBL4105784,SINGLE PROTEIN
B-cell lymphoma 6 protein,CHEMBL4105786,SINGLE PROTEIN
Diacylglycerol kinase alpha,CHEMBL4105787,SINGLE PROTEIN
Inosine triphosphate pyrophosphatase,CHEMBL4105788,SINGLE PROTEIN
Putative phosphatidylinositol 4-kinase alpha-like protein P2,CHEMBL4105789,SINGLE PROTEIN
Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2,CHEMBL4105790,SINGLE PROTEIN
ATP-dependent RNA helicase DDX39A,CHEMBL4105795,SINGLE PROTEIN
Opioid growth factor receptor,CHEMBL4105797,SINGLE PROTEIN
Short transient receptor potential channel 7,CHEMBL4105799,SINGLE PROTEIN
DNA repair protein complementing XP-A cells,CHEMBL4105801,SINGLE PROTEIN
Exportin-T,CHEMBL4105803,SINGLE PROTEIN
Protein MON2 homolog,CHEMBL4105804,SINGLE PROTEIN
Conserved oligomeric Golgi complex subunit 1,CHEMBL4105805,SINGLE PROTEIN
"Leucine--tRNA ligase, mitochondrial",CHEMBL4105806,SINGLE PROTEIN
"GDP-mannose 4,6 dehydratase",CHEMBL4105807,SINGLE PROTEIN
COP9 signalosome complex subunit 5,CHEMBL4105809,SINGLE PROTEIN
Dedicator of cytokinesis protein 2,CHEMBL4105810,SINGLE PROTEIN
ATP-dependent RNA helicase DHX30,CHEMBL4105814,SINGLE PROTEIN
Glycine--tRNA ligase,CHEMBL4105815,SINGLE PROTEIN
Acyl-CoA dehydrogenase family member 10,CHEMBL4105816,SINGLE PROTEIN
Peroxisomal acyl-coenzyme A oxidase 3,CHEMBL4105817,SINGLE PROTEIN
Long-chain-fatty-acid--CoA ligase 5,CHEMBL4105818,SINGLE PROTEIN
Adenine phosphoribosyltransferase,CHEMBL4105819,SINGLE PROTEIN
Thyroid hormone receptor-associated protein 3,CHEMBL4105820,SINGLE PROTEIN
"Isoleucine--tRNA ligase, mitochondrial",CHEMBL4105821,SINGLE PROTEIN
"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",CHEMBL4105824,SINGLE PROTEIN
Serine/threonine-protein kinase greatwall,CHEMBL4105826,SINGLE PROTEIN
Nucleotide triphosphate diphosphatase NUDT15,CHEMBL4105827,SINGLE PROTEIN
Tudor domain-containing protein 7,CHEMBL4105828,SINGLE PROTEIN
Eukaryotic initiation factor 4A-III,CHEMBL4105832,SINGLE PROTEIN
Signal peptide peptidase-like 2A,CHEMBL4105833,SINGLE PROTEIN
Ubiquitin-conjugating enzyme E2 C,CHEMBL4105834,SINGLE PROTEIN
Ubiquitin-conjugating enzyme E2 K,CHEMBL4105835,SINGLE PROTEIN
Parathyroid hormone 2 receptor,CHEMBL4105836,SINGLE PROTEIN
Histone-lysine N-methyltransferase SETD1B,CHEMBL4105837,SINGLE PROTEIN
DCN1-like protein 1,CHEMBL4105838,SINGLE PROTEIN
Gem-associated protein 7,CHEMBL4105841,SINGLE PROTEIN
Conserved oligomeric Golgi complex subunit 3,CHEMBL4105842,SINGLE PROTEIN
Conserved oligomeric Golgi complex subunit 7,CHEMBL4105843,SINGLE PROTEIN
STAM-binding protein,CHEMBL4105848,SINGLE PROTEIN
Eukaryotic translation initiation factor 5B,CHEMBL4105852,SINGLE PROTEIN
Rab-like protein 3,CHEMBL4105853,SINGLE PROTEIN
ADP/ATP translocase 3,CHEMBL4105854,SINGLE PROTEIN
Choline-phosphate cytidylyltransferase A,CHEMBL4105855,SINGLE PROTEIN
Phosphatidylethanolamine-binding protein 1,CHEMBL4105856,SINGLE PROTEIN
Actin-related protein 3,CHEMBL4105857,SINGLE PROTEIN
Putative heat shock protein HSP 90-beta 2,CHEMBL4105858,SINGLE PROTEIN
Sialic acid-binding Ig-like lectin 9,CHEMBL4105860,SINGLE PROTEIN
Eukaryotic translation initiation factor 5A-1,CHEMBL4105862,SINGLE PROTEIN
Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical],CHEMBL4105863,SINGLE PROTEIN
DEP domain-containing mTOR-interacting protein,CHEMBL4105866,SINGLE PROTEIN
Bifunctional coenzyme A synthase,CHEMBL4105867,SINGLE PROTEIN
HLA-DRB2 protein,CHEMBL4105869,SINGLE PROTEIN
Ubiquitin-conjugating enzyme E2 L3,CHEMBL4105871,SINGLE PROTEIN
Ubiquitin-conjugating enzyme E2 E1,CHEMBL4105876,SINGLE PROTEIN
MICOS complex subunit MIC19,CHEMBL4105877,SINGLE PROTEIN
CCR4-NOT transcription complex subunit 10,CHEMBL4105878,SINGLE PROTEIN
Meprin A subunit beta,CHEMBL4105879,SINGLE PROTEIN
Conserved oligomeric Golgi complex subunit 8,CHEMBL4105880,SINGLE PROTEIN
TATA box-binding protein-associated factor RNA polymerase I subunit A,CHEMBL4105882,SINGLE PROTEIN
"HLA class II histocompatibility antigen, DQ alpha 1 chain",CHEMBL4105884,SINGLE PROTEIN
AarF domain-containing protein kinase 1,CHEMBL4105885,SINGLE PROTEIN
Uncharacterized aarF domain-containing protein kinase 5,CHEMBL4105886,SINGLE PROTEIN
Guanine nucleotide-binding protein G(i) subunit alpha-2,CHEMBL4105887,SINGLE PROTEIN
Myosin-14,CHEMBL4105888,SINGLE PROTEIN
Exosome RNA helicase MTR4,CHEMBL4105889,SINGLE PROTEIN
Structural maintenance of chromosomes protein 2,CHEMBL4105890,SINGLE PROTEIN
Septin-9,CHEMBL4105891,SINGLE PROTEIN
"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",CHEMBL4105892,SINGLE PROTEIN
Ras-related protein Rab-2A,CHEMBL4105893,SINGLE PROTEIN
Cyclin-O,CHEMBL4105895,SINGLE PROTEIN
C-type lectin domain family 4 member E,CHEMBL4105898,SINGLE PROTEIN
14-3-3 protein zeta/delta,CHEMBL4105899,SINGLE PROTEIN
DNA cross-link repair 1A protein,CHEMBL4105903,SINGLE PROTEIN
Sigma intracellular receptor 2,CHEMBL4105907,SINGLE PROTEIN
ATP-dependent RNA helicase DHX29,CHEMBL4105909,SINGLE PROTEIN
Ubiquitin-conjugating enzyme E2 D3,CHEMBL4105911,SINGLE PROTEIN
Signal peptide peptidase-like 2B,CHEMBL4105912,SINGLE PROTEIN
CCR4-NOT transcription complex subunit 1,CHEMBL4105919,SINGLE PROTEIN
CCR4-NOT transcription complex subunit 2,CHEMBL4105920,SINGLE PROTEIN
Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A,CHEMBL4105921,SINGLE PROTEIN
Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C,CHEMBL4105922,SINGLE PROTEIN
ELAV-like protein 3,CHEMBL4105924,SINGLE PROTEIN
L-lactate dehydrogenase,CHEMBL4105929,SINGLE PROTEIN
Serine/threonine-protein kinase/endoribonuclease IRE2,CHEMBL4105932,SINGLE PROTEIN
Uncharacterized protein FLJ45252,CHEMBL4105933,SINGLE PROTEIN
Signal recognition particle receptor subunit alpha,CHEMBL4105934,SINGLE PROTEIN
RNA cytidine acetyltransferase,CHEMBL4105935,SINGLE PROTEIN
Putative nucleoside diphosphate kinase,CHEMBL4105936,SINGLE PROTEIN
"Cysteine--tRNA ligase, cytoplasmic",CHEMBL4105937,SINGLE PROTEIN
Diacylglycerol kinase eta,CHEMBL4105940,SINGLE PROTEIN
2-amino-3-carboxymuconate-6-semialdehyde decarboxylase,CHEMBL4105941,SINGLE PROTEIN
Diacylglycerol kinase zeta,CHEMBL4105942,SINGLE PROTEIN
Uridine diphosphate glucose pyrophosphatase NUDT14,CHEMBL4105943,SINGLE PROTEIN
5' exonuclease Apollo,CHEMBL4105944,SINGLE PROTEIN
Peptidyl-prolyl cis-trans isomerase FKBP2,CHEMBL4105949,SINGLE PROTEIN
Ubiquitin-conjugating enzyme E2 H,CHEMBL4105951,SINGLE PROTEIN
Eukaryotic initiation factor 4A-II,CHEMBL4105952,SINGLE PROTEIN
Histone-lysine N-methyltransferase SETD1A,CHEMBL4105954,SINGLE PROTEIN
MICOS complex subunit MIC10,CHEMBL4105956,SINGLE PROTEIN
CCR4-NOT transcription complex subunit 6-like,CHEMBL4105957,SINGLE PROTEIN
CCR4-NOT transcription complex subunit 11,CHEMBL4105958,SINGLE PROTEIN
Survival of motor neuron-related-splicing factor 30,CHEMBL4105959,SINGLE PROTEIN
Serine/threonine-protein phosphatase 6 regulatory subunit 2,CHEMBL4105960,SINGLE PROTEIN
CCR4-NOT transcription complex subunit 9,CHEMBL4105961,SINGLE PROTEIN
Conserved oligomeric Golgi complex subunit 6,CHEMBL4105962,SINGLE PROTEIN
"Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase 2, mitochondrial",CHEMBL4105963,SINGLE PROTEIN
Lys-63-specific deubiquitinase BRCC36,CHEMBL4105965,SINGLE PROTEIN
Myocilin,CHEMBL4105967,SINGLE PROTEIN
Phenylalanine--tRNA ligase beta subunit,CHEMBL4105969,SINGLE PROTEIN
"Elongation factor Tu, mitochondrial",CHEMBL4105970,SINGLE PROTEIN
Ras-related protein Rab-10,CHEMBL4105971,SINGLE PROTEIN
U5 small nuclear ribonucleoprotein 200 kDa helicase,CHEMBL4105972,SINGLE PROTEIN
"Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial",CHEMBL4105973,SINGLE PROTEIN
Eukaryotic peptide chain release factor GTP-binding subunit ERF3B,CHEMBL4105974,SINGLE PROTEIN
"Cytochrome c1, heme protein, mitochondrial",CHEMBL4105975,SINGLE PROTEIN
Protein mono-ADP-ribosyltransferase PARP16,CHEMBL4105981,SINGLE PROTEIN
"ADP-ribose pyrophosphatase, mitochondrial",CHEMBL4105984,SINGLE PROTEIN
PAN2-PAN3 deadenylation complex subunit PAN3,CHEMBL4105985,SINGLE PROTEIN
Transcription factor Dp-2,CHEMBL4105986,SINGLE PROTEIN
Atypical chemokine receptor 2,CHEMBL4105988,SINGLE PROTEIN
Lysyl oxidase homolog 3,CHEMBL4105989,SINGLE PROTEIN
Ubiquitin-conjugating enzyme E2 D2,CHEMBL4105990,SINGLE PROTEIN
MICOS complex subunit MIC25,CHEMBL4105993,SINGLE PROTEIN
Programmed cell death protein 6,CHEMBL4105994,SINGLE PROTEIN
Protein ZNRD2,CHEMBL4105996,SINGLE PROTEIN
Nuclear body protein SP140-like protein,CHEMBL4105997,SINGLE PROTEIN
MAC1-CD40L,CHEMBL4106121,PROTEIN-PROTEIN INTERACTION
CD40-CD40L,CHEMBL4106122,PROTEIN-PROTEIN INTERACTION
MDM2-MDMX,CHEMBL4106123,PROTEIN-PROTEIN INTERACTION
MLL1-ASH2L/RbBP5/WDR5/DPY30,CHEMBL4106124,PROTEIN-PROTEIN INTERACTION
BCoR-BCL6,CHEMBL4106125,PROTEIN-PROTEIN INTERACTION
TLR4-MD2,CHEMBL4106126,PROTEIN-PROTEIN INTERACTION
c-Myc/c-Max,CHEMBL4106127,PROTEIN-PROTEIN INTERACTION
IL15-IL15 receptor,CHEMBL4106128,PROTEIN-PROTEIN INTERACTION
Keap1-p62,CHEMBL4106129,PROTEIN-PROTEIN INTERACTION
HSP60/HSP10,CHEMBL4106131,PROTEIN COMPLEX
FASN/HER2,CHEMBL4106134,PROTEIN COMPLEX
RyR1/FKBP12,CHEMBL4106135,PROTEIN COMPLEX
DNA-PK/Ku70/Ku85,CHEMBL4106136,PROTEIN COMPLEX
ATR/ATRIP,CHEMBL4106138,PROTEIN COMPLEX
METTL3/METTL14,CHEMBL4106140,PROTEIN COMPLEX
Aurora-C/INCENP,CHEMBL4106141,PROTEIN COMPLEX
BRD4/HDAC1,CHEMBL4106143,PROTEIN COMPLEX
Glycine receptor alpha-3/beta,CHEMBL4106144,PROTEIN COMPLEX
Nicotinic acetylcholine receptor alpha-1/beta-1/delta/epsilon,CHEMBL4106145,PROTEIN COMPLEX
Integrin alpha-V/beta-3/alpha-V/beta-5,CHEMBL4106150,PROTEIN COMPLEX
GABA-A receptor alpha-1/beta-3,CHEMBL4106151,PROTEIN COMPLEX
CDK2/Cyclin O,CHEMBL4106152,PROTEIN COMPLEX
CDK2/Bovine cyclin A,CHEMBL4106153,PROTEIN COMPLEX
GABA-A receptor alpha-4/beta-3/delta,CHEMBL4106157,PROTEIN COMPLEX
AMP-activated protein kinase alpha-2/beta-2/gamma-2,CHEMBL4106158,PROTEIN COMPLEX
AMP-activated protein kinase alpha-2/beta-1/gamma-3,CHEMBL4106159,PROTEIN COMPLEX
N-type calcium channel alpha-1b/alpha2delta-1/beta-1b,CHEMBL4106160,PROTEIN COMPLEX
CDK18/Cyclin Y,CHEMBL4106161,PROTEIN COMPLEX
AMP-activated protein kinase alpha-1/beta-2/gamma-3,CHEMBL4106162,PROTEIN COMPLEX
AMP-activated protein kinase alpha-1/beta-2/gamma-2,CHEMBL4106163,PROTEIN COMPLEX
L-type calcium channel alpha-1c/beta-2/alpha2delta-1,CHEMBL4106164,PROTEIN COMPLEX
CDK12/Cyclin K,CHEMBL4106169,PROTEIN COMPLEX
Superoxide dismutase 1/2,CHEMBL4106171,PROTEIN FAMILY
Glucocerebrosidase GBA1/GBA2,CHEMBL4106172,PROTEIN FAMILY
Topoisomerase I/II,CHEMBL4106174,PROTEIN FAMILY
Serine/threonine-protein kinase Rac alpha/beta,CHEMBL4106175,PROTEIN FAMILY
Dual specificity protein kinase CLK1/CLK4,CHEMBL4106176,PROTEIN FAMILY
Rho GTPase Rac1/CDC42,CHEMBL4106177,PROTEIN FAMILY
Ribosomal protein S6 kinase alpha-1/alpha-3,CHEMBL4106179,PROTEIN FAMILY
p38 MAP kinase alpha/beta,CHEMBL4106180,PROTEIN FAMILY
Toll-like receptor 3/8/9,CHEMBL4106182,PROTEIN FAMILY
Glutaminase 1/2,CHEMBL4106183,PROTEIN FAMILY
CDK4/CDK9,CHEMBL4106184,PROTEIN FAMILY
Histone deacetylase 1/6,CHEMBL4106187,PROTEIN FAMILY
Melanin-concentrating hormone receptor 2/HERG,CHEMBL4106188,SELECTIVITY GROUP
BRAF/CRAF,CHEMBL4106189,PROTEIN COMPLEX
Amyloid beta-binding alcohol dehydrogenase,CHEMBL4295598,SINGLE PROTEIN
ADP-ribose glycohydrolase MACROD2,CHEMBL4295630,SINGLE PROTEIN
Putative annexin A2-like protein,CHEMBL4295633,SINGLE PROTEIN
"Alkyldihydroxyacetonephosphate synthase, peroxisomal",CHEMBL4295643,SINGLE PROTEIN
HCLS1-associated protein X-1,CHEMBL4295644,SINGLE PROTEIN
AH receptor-interacting protein,CHEMBL4295645,SINGLE PROTEIN
Mannan-binding lectin serine protease 2,CHEMBL4295646,SINGLE PROTEIN
Importin-5,CHEMBL4295647,SINGLE PROTEIN
Agrin,CHEMBL4295648,SINGLE PROTEIN
C-C motif chemokine 22,CHEMBL4295649,SINGLE PROTEIN
Transcription regulator protein BACH1,CHEMBL4295651,SINGLE PROTEIN
Myosin regulatory light chain 12B,CHEMBL4295652,SINGLE PROTEIN
Calmegin,CHEMBL4295653,SINGLE PROTEIN
Protein transport protein Sec16A,CHEMBL4295654,SINGLE PROTEIN
Phosphoribosylformylglycinamidine synthase,CHEMBL4295655,SINGLE PROTEIN
Actin-related protein 2/3 complex subunit 1B,CHEMBL4295656,SINGLE PROTEIN
Actin-related protein 2/3 complex subunit 2,CHEMBL4295657,SINGLE PROTEIN
Actin-related protein 2/3 complex subunit 5,CHEMBL4295658,SINGLE PROTEIN
ATP-dependent RNA helicase DHX15,CHEMBL4295661,SINGLE PROTEIN
mRNA cap guanine-N7 methyltransferase,CHEMBL4295662,SINGLE PROTEIN
Thioredoxin-like protein 1,CHEMBL4295663,SINGLE PROTEIN
Tolloid-like protein 1,CHEMBL4295664,SINGLE PROTEIN
Neuropilin-2,CHEMBL4295667,SINGLE PROTEIN
Protein diaphanous homolog 1,CHEMBL4295668,SINGLE PROTEIN
General vesicular transport factor p115,CHEMBL4295669,SINGLE PROTEIN
Endothelial differentiation-related factor 1,CHEMBL4295670,SINGLE PROTEIN
DnaJ homolog subfamily A member 2,CHEMBL4295671,SINGLE PROTEIN
Lysine-specific demethylase PHF2,CHEMBL4295672,SINGLE PROTEIN
Clustered mitochondria protein homolog,CHEMBL4295673,SINGLE PROTEIN
DnaJ homolog subfamily B member 6,CHEMBL4295674,SINGLE PROTEIN
Low-density lipoprotein receptor-related protein 5,CHEMBL4295675,SINGLE PROTEIN
Hyaluronan mediated motility receptor,CHEMBL4295676,SINGLE PROTEIN
Filamin-B,CHEMBL4295677,SINGLE PROTEIN
"Citrate synthase, mitochondrial",CHEMBL4295678,SINGLE PROTEIN
Vesicle-trafficking protein SEC22b,CHEMBL4295679,SINGLE PROTEIN
Nuclear pore complex protein Nup155,CHEMBL4295680,SINGLE PROTEIN
WD repeat and HMG-box DNA-binding protein 1,CHEMBL4295681,SINGLE PROTEIN
Adenylyltransferase and sulfurtransferase MOCS3,CHEMBL4295684,SINGLE PROTEIN
Sodium-dependent phosphate transport protein 2B,CHEMBL4295685,SINGLE PROTEIN
Mitochondrial pyruvate carrier 2,CHEMBL4295686,SINGLE PROTEIN
AP-2 complex subunit alpha-1,CHEMBL4295687,SINGLE PROTEIN
"Apoptosis-inducing factor 1, mitochondrial",CHEMBL4295688,SINGLE PROTEIN
Diphosphoinositol polyphosphate phosphohydrolase 1,CHEMBL4295689,SINGLE PROTEIN
Alpha-2-macroglobulin,CHEMBL4295690,SINGLE PROTEIN
Polymeric immunoglobulin receptor,CHEMBL4295691,SINGLE PROTEIN
Complement component C9,CHEMBL4295693,SINGLE PROTEIN
Alpha-2-HS-glycoprotein,CHEMBL4295694,SINGLE PROTEIN
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,CHEMBL4295697,SINGLE PROTEIN
Large ribosomal subunit protein P2,CHEMBL4295698,SINGLE PROTEIN
Gelsolin,CHEMBL4295700,SINGLE PROTEIN
Complement C2,CHEMBL4295701,SINGLE PROTEIN
Glucose-6-phosphate isomerase,CHEMBL4295702,SINGLE PROTEIN
Signal recognition particle 19 kDa protein,CHEMBL4295704,SINGLE PROTEIN
Tropomyosin alpha-1 chain,CHEMBL4295705,SINGLE PROTEIN
Clathrin light chain A,CHEMBL4295706,SINGLE PROTEIN
Fructose-bisphosphate aldolase C,CHEMBL4295709,SINGLE PROTEIN
"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",CHEMBL4295713,SINGLE PROTEIN
Protein disulfide-isomerase A4,CHEMBL4295717,SINGLE PROTEIN
Plastin-2,CHEMBL4295718,SINGLE PROTEIN
Y-box-binding protein 3,CHEMBL4295720,SINGLE PROTEIN
Rho-related GTP-binding protein RhoQ,CHEMBL4295721,SINGLE PROTEIN
Probable ATP-dependent RNA helicase DDX5,CHEMBL4295722,SINGLE PROTEIN
Vinculin,CHEMBL4295723,SINGLE PROTEIN
Nucleolin,CHEMBL4295725,SINGLE PROTEIN
Transcription factor E3,CHEMBL4295726,SINGLE PROTEIN
Inter-alpha-trypsin inhibitor heavy chain H2,CHEMBL4295727,SINGLE PROTEIN
Cysteine and glycine-rich protein 1,CHEMBL4295728,SINGLE PROTEIN
Non-selective voltage-gated ion channel VDAC1,CHEMBL4295729,SINGLE PROTEIN
Receptor-type tyrosine-protein phosphatase zeta,CHEMBL4295730,SINGLE PROTEIN
Elongation factor 1-beta,CHEMBL4295731,SINGLE PROTEIN
Moesin,CHEMBL4295733,SINGLE PROTEIN
High mobility group protein B2,CHEMBL4295734,SINGLE PROTEIN
Elongation factor 1-gamma,CHEMBL4295735,SINGLE PROTEIN
Gap junction beta-2 protein,CHEMBL4295738,SINGLE PROTEIN
Elongation factor 1-delta,CHEMBL4295739,SINGLE PROTEIN
Guanine nucleotide-binding protein subunit alpha-11,CHEMBL4295740,SINGLE PROTEIN
Peroxiredoxin-6,CHEMBL4295741,SINGLE PROTEIN
"Thioredoxin-dependent peroxide reductase, mitochondrial",CHEMBL4295742,SINGLE PROTEIN
Peroxiredoxin-2,CHEMBL4295744,SINGLE PROTEIN
Cystathionine gamma-lyase,CHEMBL4295745,SINGLE PROTEIN
Long-chain-fatty-acid--CoA ligase 1,CHEMBL4295746,SINGLE PROTEIN
"Serine hydroxymethyltransferase, mitochondrial",CHEMBL4295747,SINGLE PROTEIN
Catenin alpha-1,CHEMBL4295748,SINGLE PROTEIN
Polycomb complex protein BMI-1,CHEMBL4295749,SINGLE PROTEIN
Prohibitin 1,CHEMBL4295750,SINGLE PROTEIN
ADP-ribosylation factor-like protein 2,CHEMBL4295751,SINGLE PROTEIN
"ATP synthase subunit gamma, mitochondrial",CHEMBL4295752,SINGLE PROTEIN
Pigment epithelium-derived factor,CHEMBL4295753,SINGLE PROTEIN
Phospholipid hydroperoxide glutathione peroxidase GPX4,CHEMBL4295754,SINGLE PROTEIN
Hippocalcin-like protein 1,CHEMBL4295755,SINGLE PROTEIN
V-type proton ATPase catalytic subunit A,CHEMBL4295756,SINGLE PROTEIN
"Stress-70 protein, mitochondrial",CHEMBL4295757,SINGLE PROTEIN
Acidic leucine-rich nuclear phosphoprotein 32 family member A,CHEMBL4295758,SINGLE PROTEIN
"Trifunctional enzyme subunit alpha, mitochondrial",CHEMBL4295759,SINGLE PROTEIN
Epidermal growth factor receptor substrate 15,CHEMBL4295760,SINGLE PROTEIN
Protein AF-9,CHEMBL4295761,SINGLE PROTEIN
"Leucine-rich PPR motif-containing protein, mitochondrial",CHEMBL4295762,SINGLE PROTEIN
Ras GTPase-activating-like protein IQGAP1,CHEMBL4295763,SINGLE PROTEIN
F-actin-capping protein subunit beta,CHEMBL4295764,SINGLE PROTEIN
Glutamate--cysteine ligase regulatory subunit,CHEMBL4295765,SINGLE PROTEIN
T-complex protein 1 subunit epsilon,CHEMBL4295766,SINGLE PROTEIN
Mannan-binding lectin serine protease 1,CHEMBL4295768,SINGLE PROTEIN
Large ribosomal subunit protein bL19m,CHEMBL4295771,SINGLE PROTEIN
Transmembrane emp24 domain-containing protein 10,CHEMBL4295772,SINGLE PROTEIN
DNA ligase 3,CHEMBL4295773,SINGLE PROTEIN
Vasodilator-stimulated phosphoprotein,CHEMBL4295774,SINGLE PROTEIN
T-complex protein 1 subunit theta,CHEMBL4295775,SINGLE PROTEIN
Small ribosomal subunit protein mS29,CHEMBL4295776,SINGLE PROTEIN
Translocon-associated protein subunit delta,CHEMBL4295777,SINGLE PROTEIN
B-cell receptor-associated protein 31,CHEMBL4295778,SINGLE PROTEIN
Aldehyde dehydrogenase family 3 member A2,CHEMBL4295779,SINGLE PROTEIN
Large ribosomal subunit protein bL12m,CHEMBL4295780,SINGLE PROTEIN
F-actin-capping protein subunit alpha-1,CHEMBL4295781,SINGLE PROTEIN
Coatomer subunit beta,CHEMBL4295782,SINGLE PROTEIN
Delta-1-pyrroline-5-carboxylate synthase,CHEMBL4295784,SINGLE PROTEIN
Signal recognition particle subunit SRP54,CHEMBL4295786,SINGLE PROTEIN
NEDD8-conjugating enzyme Ubc12,CHEMBL4295787,SINGLE PROTEIN
Neuronal calcium sensor 1,CHEMBL4295788,SINGLE PROTEIN
Tropomyosin alpha-4 chain,CHEMBL4295789,SINGLE PROTEIN
RNA-binding protein 3,CHEMBL4295793,SINGLE PROTEIN
Solute carrier family 25 member 3,CHEMBL4295795,SINGLE PROTEIN
Vigilin,CHEMBL4295796,SINGLE PROTEIN
Receptor expression-enhancing protein 5,CHEMBL4295797,SINGLE PROTEIN
Protein SET,CHEMBL4295798,SINGLE PROTEIN
A-kinase anchor protein 12,CHEMBL4295800,SINGLE PROTEIN
Protein ENL,CHEMBL4295801,SINGLE PROTEIN
Proteasome activator complex subunit 1,CHEMBL4295804,SINGLE PROTEIN
Serine/arginine-rich splicing factor 1,CHEMBL4295805,SINGLE PROTEIN
Sodium-dependent phosphate transporter 2,CHEMBL4295806,SINGLE PROTEIN
Mitochondrial-processing peptidase subunit alpha,CHEMBL4295809,SINGLE PROTEIN
Aminoacyl tRNA synthase complex-interacting multifunctional protein 1,CHEMBL4295810,SINGLE PROTEIN
Interleukin enhancer-binding factor 2,CHEMBL4295811,SINGLE PROTEIN
Peroxiredoxin-4,CHEMBL4295812,SINGLE PROTEIN
Serine/arginine-rich splicing factor 9,CHEMBL4295813,SINGLE PROTEIN
Eukaryotic translation initiation factor 3 subunit I,CHEMBL4295814,SINGLE PROTEIN
Cytoplasmic dynein 1 intermediate chain 2,CHEMBL4295815,SINGLE PROTEIN
Sequestosome-1,CHEMBL4295816,SINGLE PROTEIN
Plakophilin-1,CHEMBL4295817,SINGLE PROTEIN
Bleomycin hydrolase,CHEMBL4295818,SINGLE PROTEIN
Ubiquitin-associated protein 2-like,CHEMBL4295819,SINGLE PROTEIN
Src substrate cortactin,CHEMBL4295820,SINGLE PROTEIN
Caprin-1,CHEMBL4295821,SINGLE PROTEIN
Prostaglandin reductase 1,CHEMBL4295822,SINGLE PROTEIN
Serum paraoxonase/arylesterase 2,CHEMBL4295823,SINGLE PROTEIN
Serum paraoxonase/lactonase 3,CHEMBL4295824,SINGLE PROTEIN
Poly(rC)-binding protein 1,CHEMBL4295825,SINGLE PROTEIN
Poly(rC)-binding protein 2,CHEMBL4295826,SINGLE PROTEIN
Protein transport protein Sec23A,CHEMBL4295827,SINGLE PROTEIN
Transcriptional enhancer factor TEF-3,CHEMBL4295828,SINGLE PROTEIN
Transforming growth factor-beta-induced protein ig-h3,CHEMBL4295829,SINGLE PROTEIN
