pref_name,target_chembl_id,target_type
Tubulin alpha-4A chain,CHEMBL2070,SINGLE PROTEIN
NPC1-like intracellular cholesterol transporter 1,CHEMBL2027,SINGLE PROTEIN
Sphingomyelin phosphodiesterase 2,CHEMBL4712,SINGLE PROTEIN
Cathepsin D,CHEMBL2581,SINGLE PROTEIN
Carboxypeptidase N catalytic chain,CHEMBL4713,SINGLE PROTEIN
Cyclin-A2,CHEMBL2582,SINGLE PROTEIN
Orexin/Hypocretin receptor type 1,CHEMBL5113,SINGLE PROTEIN
P2Y purinoceptor 6,CHEMBL4714,SINGLE PROTEIN
Cysteinyl leukotriene receptor 2,CHEMBL4330,SINGLE PROTEIN
"3',5'-cyclic-AMP phosphodiesterase 7B",CHEMBL4716,SINGLE PROTEIN
Gastricsin,CHEMBL2136,SINGLE PROTEIN
Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform,CHEMBL4763,SINGLE PROTEIN
Transcription factor Jun,CHEMBL4977,SINGLE PROTEIN
Apolipoprotein B-100,CHEMBL4549,SINGLE PROTEIN
Bcl2-associated agonist of cell death,CHEMBL3817,SINGLE PROTEIN
B2 bradykinin receptor,CHEMBL3157,SINGLE PROTEIN
Insulin-like growth factor-binding protein 6,CHEMBL2139,SINGLE PROTEIN
Interleukin-8,CHEMBL2157,SINGLE PROTEIN
Trypsin-2,CHEMBL3159,SINGLE PROTEIN
Casein kinase II subunit alpha,CHEMBL3629,SINGLE PROTEIN
ADP-ribosyltransferase,CHEMBL2158,SINGLE PROTEIN
Nucleoside diphosphate kinase A,CHEMBL2159,SINGLE PROTEIN
Nucleoside diphosphate kinase B,CHEMBL2160,SINGLE PROTEIN
Death-associated protein kinase 3,CHEMBL2468,SINGLE PROTEIN
"HLA class II histocompatibility antigen, DR beta 3 chain",CHEMBL3460,SINGLE PROTEIN
Glutathione S-transferase omega-2,CHEMBL2161,SINGLE PROTEIN
Uridine-cytidine kinase 2,CHEMBL2469,SINGLE PROTEIN
DNA-dependent protein kinase catalytic subunit,CHEMBL3142,SINGLE PROTEIN
Kallikrein-2,CHEMBL2442,SINGLE PROTEIN
Kallikrein-7,CHEMBL2443,SINGLE PROTEIN
Gastric triacylglycerol lipase,CHEMBL1796,SINGLE PROTEIN
Chymase,CHEMBL4068,SINGLE PROTEIN
1-acyl-sn-glycerol-3-phosphate acyltransferase alpha,CHEMBL3583,SINGLE PROTEIN
Serine/threonine-protein phosphatase PP1-alpha catalytic subunit,CHEMBL2164,SINGLE PROTEIN
Cyclin-H,CHEMBL2165,SINGLE PROTEIN
Deoxycytidine kinase,CHEMBL2447,SINGLE PROTEIN
"Peptide deformylase, mitochondrial",CHEMBL4647,SINGLE PROTEIN
Dihydropyrimidinase,CHEMBL2465,SINGLE PROTEIN
GTPase HRas,CHEMBL2167,SINGLE PROTEIN
Low affinity immunoglobulin epsilon Fc receptor,CHEMBL2940,SINGLE PROTEIN
Fibroblast growth factor 1,CHEMBL2120,SINGLE PROTEIN
Arachidonate 5-lipoxygenase-activating protein,CHEMBL4550,SINGLE PROTEIN
Folate receptor alpha,CHEMBL2121,SINGLE PROTEIN
Geranylgeranyl pyrophosphate synthase,CHEMBL4769,SINGLE PROTEIN
Transcription initiation factor IIA subunit 1,CHEMBL4832,SINGLE PROTEIN
Mitogen-activated protein kinase 11,CHEMBL3961,SINGLE PROTEIN
Trypsin-3,CHEMBL4551,SINGLE PROTEIN
Cellular retinol-binding protein,CHEMBL2076,SINGLE PROTEIN
Reduced folate transporter,CHEMBL4833,SINGLE PROTEIN
Sulfotransferase 2A1,CHEMBL2077,SINGLE PROTEIN
"Thymidine kinase, cytosolic",CHEMBL2883,SINGLE PROTEIN
Cytosolic phospholipase A2 gamma,CHEMBL4834,SINGLE PROTEIN
Caspase-3,CHEMBL2334,SINGLE PROTEIN
Cellular retinoic acid-binding protein 1,CHEMBL2079,SINGLE PROTEIN
Steroid hormone receptor ERR1,CHEMBL3429,SINGLE PROTEIN
Platelet-activating factor acetylhydrolase,CHEMBL3514,SINGLE PROTEIN
Carbonic anhydrase 3,CHEMBL2885,SINGLE PROTEIN
Tyrosine-protein kinase Lck,CHEMBL258,SINGLE PROTEIN
L-lactate dehydrogenase A chain,CHEMBL4835,SINGLE PROTEIN
Melanocortin receptor 4,CHEMBL259,SINGLE PROTEIN
Neuropeptide Y receptor type 4,CHEMBL4877,SINGLE PROTEIN
Bone morphogenetic protein 1,CHEMBL3898,SINGLE PROTEIN
Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4,CHEMBL4923,SINGLE PROTEIN
Cytochrome P450 1B1,CHEMBL4878,SINGLE PROTEIN
"Fatty acid-binding protein, intestinal",CHEMBL4879,SINGLE PROTEIN
Hypoxanthine-guanine phosphoribosyltransferase,CHEMBL2360,SINGLE PROTEIN
Potassium voltage-gated channel subfamily E member 1,CHEMBL4872,SINGLE PROTEIN
Phosphoglycerate kinase 1,CHEMBL2886,SINGLE PROTEIN
Triosephosphate isomerase,CHEMBL4880,SINGLE PROTEIN
Serum paraoxonase/arylesterase 1,CHEMBL3167,SINGLE PROTEIN
Hemoglobin subunit alpha,CHEMBL2887,SINGLE PROTEIN
Glutathione S-transferase Mu 1,CHEMBL2081,SINGLE PROTEIN
Alcohol dehydrogenase class-3,CHEMBL4116,SINGLE PROTEIN
"Aldehyde dehydrogenase X, mitochondrial",CHEMBL4881,SINGLE PROTEIN
Cytochrome P450 2C8,CHEMBL3721,SINGLE PROTEIN
Metabotropic glutamate receptor 3,CHEMBL2888,SINGLE PROTEIN
Glutathione S-transferase Mu 2,CHEMBL4589,SINGLE PROTEIN
Ribosyldihydronicotinamide dehydrogenase [quinone],CHEMBL3959,SINGLE PROTEIN
"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial",CHEMBL4882,SINGLE PROTEIN
Calcineurin subunit B type 1,CHEMBL2082,SINGLE PROTEIN
"Dual specificity calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A",CHEMBL3421,SINGLE PROTEIN
Urokinase plasminogen activator surface receptor,CHEMBL4883,SINGLE PROTEIN
Somatostatin receptor type 4,CHEMBL1853,SINGLE PROTEIN
Substance-K receptor,CHEMBL2327,SINGLE PROTEIN
Adenosine kinase,CHEMBL3589,SINGLE PROTEIN
Carbonic anhydrase 6,CHEMBL3025,SINGLE PROTEIN
Caspase-2,CHEMBL4884,SINGLE PROTEIN
Mitogen-activated protein kinase 14,CHEMBL260,SINGLE PROTEIN
"Fatty acid-binding protein, adipocyte",CHEMBL2083,SINGLE PROTEIN
Galanin receptor type 1,CHEMBL4894,SINGLE PROTEIN
"Adenylate kinase 2, mitochondrial",CHEMBL4938,SINGLE PROTEIN
Asialoglycoprotein receptor 1,CHEMBL2084,SINGLE PROTEIN
Carbonic anhydrase 1,CHEMBL261,SINGLE PROTEIN
Carboxypeptidase A2,CHEMBL4939,SINGLE PROTEIN
Cellular retinoic acid-binding protein 2,CHEMBL2692,SINGLE PROTEIN
Glycogen synthase kinase-3 beta,CHEMBL262,SINGLE PROTEIN
Potassium voltage-gated channel subfamily A member 5,CHEMBL4306,SINGLE PROTEIN
L-lactate dehydrogenase B chain,CHEMBL4940,SINGLE PROTEIN
Macrophage migration inhibitory factor,CHEMBL2085,SINGLE PROTEIN
S-methyl-5'-thioadenosine phosphorylase,CHEMBL4941,SINGLE PROTEIN
NADH-ubiquinone oxidoreductase B17 subunit,CHEMBL2192,SINGLE PROTEIN
P2X purinoceptor 5,CHEMBL4942,SINGLE PROTEIN
