molecule_chembl_id,std_smiles,standard_type,IC50_nM,n_mediciones,pActividad,activo,MW,LogP,HBD,HBA,TPSA,RotBonds,QED,lipinski_ok,es_pains,razon_pains
CHEMBL53940,CNc1cc2c(Nc3ccccc3)ncnc2cn1,IC50,9.0,1,8.045757490560675,1,251.29,2.81,2,5,62.73,3,0.749,True,False,
CHEMBL92937,CNc1cc2ncnc(Nc3cccc(Br)c3)c2cc1N,IC50,0.69,1,9.161150909262744,1,344.22,3.76,3,5,75.86,3,0.631,True,False,
CHEMBL92936,CNc1cc2ncnc(Nc3cccc(Br)c3)c2cc1[N+](=O)[O-],IC50,68.0,1,7.167491087293763,1,374.2,4.09,2,6,92.98,4,0.528,True,False,
CHEMBL54400,CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,IC50,0.1288,1,9.890084136976206,1,330.19,3.57,2,5,62.73,3,0.769,True,False,
CHEMBL127082,CNc1cc2ncnc(Nc3cccc(C)c3)c2cn1,IC50,1.4,1,8.853871964321762,1,265.32,3.12,2,5,62.73,3,0.761,True,False,
CHEMBL4250210,CNc1ccc(N(C)c2ncnc3occ(C)c23)cc1,IC50,6.4,1,8.193820026016112,1,268.32,3.34,1,5,54.19,3,0.789,True,False,
CHEMBL4247926,CNc1ccc(Nc2ncnc3occ(C)c23)cc1,IC50,200.0,1,6.698970004336019,1,254.29,3.32,2,5,62.98,3,0.75,True,False,
CHEMBL92812,CNc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,IC50,4.0,1,8.397940008672036,1,329.2,4.18,2,4,49.84,3,0.757,True,False,
CHEMBL298637,CNc1ccc2c(Nc3cccc(Br)c3)ncnc2n1,IC50,52.0,1,7.2839966563652,1,330.19,3.57,2,5,62.73,3,0.769,True,False,
CHEMBL50344,CNc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,IC50,4.0,1,8.397940008672036,1,329.2,4.18,2,4,49.84,3,0.757,True,False,
CHEMBL53156,CNc1ccc2ncnc(Nc3cccc(Br)c3)c2n1,IC50,3.1,1,8.508638306165727,1,330.19,3.57,2,5,62.73,3,0.769,True,False,
CHEMBL208594,CNc1ccc2ncnc(Nc3cccc(C)c3)c2c1,IC50,11.0,1,7.958607314841775,1,264.33,3.72,2,4,49.84,3,0.757,True,False,
CHEMBL209343,CNc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,IC50,4.0,1,8.397940008672036,1,284.75,4.07,2,4,49.84,3,0.761,True,False,
CHEMBL358934,CNc1ccc2sc3c(Nc4cccc(Br)c4)ncnc3c2c1,IC50,1.1,1,8.958607314841773,1,385.29,5.39,2,5,49.84,3,0.496,True,False,
CHEMBL462160,CNc1ccnc(Nc2ccc(-c3nc4ccccc4s3)cc2)n1,IC50,10000.0,1,5.0,0,333.42,4.54,2,6,62.73,4,0.574,True,False,
CHEMBL1765781,CNc1cncc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCC[C@H]4CN4CCCC4)cc3)c2)n1,Ki,1000.0,1,5.999999999999999,0,473.58,3.19,3,7,106.25,7,0.484,True,False,
CHEMBL4520286,CNc1cncc(-c2c[nH]c3nc(Nc4ccc(N5CCN(C(C)=O)CC5)cc4)nc(OC4CCCCC4)c23)n1,IC50,654.0,1,6.184422251675732,1,541.66,4.58,3,9,124.19,7,0.308,True,True,anil_di_alk_A(478)
CHEMBL4562744,CNc1cncc(-c2c[nH]c3nc(Nc4ccc(N5CCN(C(C)=O)CC5)cc4)nc(OC4CCOCC4)c23)n1,IC50,937.0,1,6.028260409112221,1,543.63,3.43,3,10,133.42,7,0.318,True,True,anil_di_alk_A(478)
CHEMBL4465231,CNc1cncc(-c2c[nH]c3nc(Nc4ccc(N5CCN(C(C)=O)CC5)cc4)nc(Oc4ccccc4)c23)n1,IC50,1048.0,1,5.979638717352291,0,535.61,4.66,3,9,124.19,7,0.273,True,True,anil_di_alk_A(478)
CHEMBL5430071,CNc1nc(-c2ccc(F)cc2)c(-c2ccnc(Nc3ccc4c(ccn4CCN(C)C)c3)n2)s1,IC50,19.0,1,7.721246399047171,1,487.61,5.71,2,7,70.9,8,0.292,True,False,
CHEMBL1765740,CNc1nc(-c2ccc3c(N)n[nH]c3c2)cc(N2C[C@@H](C(=O)NC3CCCCC3)CC[C@H]2C)n1,IC50,10000.0,1,5.0,0,462.6,3.7,4,7,124.85,5,0.456,True,False,
CHEMBL4750368,CNc1nc(C)c(C(=O)/C=C/c2ccc(O)cc2)s1,IC50,33.66,1,7.472885888360194,1,274.35,3.09,2,5,62.22,4,0.664,True,False,
CHEMBL4797515,CNc1nc(C)c(C(=O)/C=C/c2ccsc2)s1,IC50,143.63,1,6.842754839524805,1,264.38,3.45,1,5,41.99,4,0.679,True,False,
CHEMBL4798434,CNc1nc(C)c(C(=O)/C=C/c2nccs2)s1,IC50,255.6,1,6.592439150513637,1,265.36,2.85,1,6,54.88,4,0.682,True,False,
CHEMBL514941,CNc1nc(Nc2ccc(-c3nc4ccccc4s3)cc2)c2cc(OC)c(OC)cc2n1,IC50,10000.0,1,5.0,0,443.53,5.71,2,8,81.19,6,0.348,True,False,
CHEMBL3234744,CNc1ncc(C(=O)Nc2cc(C(=O)Nc3ccc(CN4CCN(C)CC4)c(C(F)(F)F)c3)ccc2C)cn1,IC50,120.0,1,6.920818753952375,1,541.58,4.1,3,7,102.49,7,0.414,True,False,
CHEMBL5188960,CNc1ncc(C(C)C)c2cc(Nc3ccnc(N4CC[C@@H](O)[C@@H](F)C4)n3)ncc12,IC50,50.0,1,7.30102999566398,1,411.49,3.24,3,8,99.09,5,0.589,True,False,
CHEMBL5185287,CNc1ncc(C(C)C)c2cc(Nc3ccnc(N4CC[C@@H](O)[C@@](C)(F)C4)n3)ncc12,IC50,8.1,1,8.09151498112135,1,425.51,3.63,3,8,99.09,5,0.57,True,False,
CHEMBL4218175,CNc1ncc2c(-c3ccc(N4CCN(C)CC4)cc3)nn(CC3CCCC3)c2n1,IC50,10000.0,1,5.0,0,405.55,3.48,1,6,62.11,5,0.701,True,False,
CHEMBL4208852,CNc1ncc2c(-c3ccc(N4CCN(C)CC4)nc3)nn(CC3CCCC3)c2n1,IC50,10000.0,1,5.0,0,406.54,2.87,1,7,75.0,5,0.698,True,False,
CHEMBL107472,CNc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,IC50,7500.0,1,5.124938736608299,0,335.19,3.34,1,4,59.81,2,0.78,True,False,
CHEMBL299622,CNc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,IC50,0.76,1,9.119186407719207,1,331.18,2.97,2,6,75.62,3,0.768,True,False,
CHEMBL52591,CNc1ncc2ncnc(Nc3cccc(C)c3)c2n1,IC50,4.3,1,8.366531544420413,1,266.31,2.51,2,6,75.62,3,0.758,True,False,
CHEMBL53310,CNc1ncc2ncnc(Nc3ccccc3)c2n1,IC50,13.0,1,7.886056647693162,1,252.28,2.21,2,6,75.62,3,0.744,True,False,
CHEMBL213618,CNc1nccc(-c2ccc(C(=O)N[C@H](CN)Cc3ccc(Cl)cc3Cl)s2)n1,IC50,10000.0,1,5.0,0,436.37,3.85,3,6,92.93,7,0.523,True,False,
CHEMBL1242977,CNc1nccc(-c2cccnc2Oc2ccc(NC(=O)c3cccc(C(F)(F)F)c3)cc2C)n1,IC50,8000.0,1,5.096910013008055,0,479.46,5.95,2,6,89.03,6,0.355,True,False,
CHEMBL1243200,CNc1nccc(-c2cccnc2Oc2ccc(NC(=O)c3ccccc3Nc3ccccc3)cc2)n1,IC50,1000.0,1,5.999999999999999,0,488.55,6.37,3,7,101.06,8,0.233,True,False,
CHEMBL512933,CNc1nccc(Nc2ccc(-c3nc4ccccc4s3)cc2)n1,IC50,10000.0,1,5.0,0,333.42,4.54,2,6,62.73,4,0.574,True,False,
CHEMBL1981410,CNc1ncnc2c1N=C(c1ccc(NC(=O)Nc3cccc(C(F)(F)F)c3)cc1)CCN2,Ki,1995.26,1,5.7000005038830155,0,455.44,5.12,4,6,103.33,4,0.437,True,False,
