assay_chembl_id,canonical_smiles,molecule_chembl_id,pchembl_value,standard_type,standard_units,standard_value,type,units,value,confidence_score,pValue,mol_weight
CHEMBL5031734,C=CC(=O)N1CC[C@H](Oc2nc(-c3n[nH]c(=O)[nH]3)cc3ccccc23)C1,CHEMBL5073622,,IC50,nM,5.012e-09,pIC50,,17.3,9,17.299988937677885,351.3660000000001
CHEMBL4721173,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,CHEMBL3353410,,IC50,nM,0.002,IC50,nM,0.002,9,11.698970004336019,499.6190000000003
CHEMBL683040,Brc1cccc(Nc2ncnc3cc4ccccc4cc23)c1,CHEMBL63786,,IC50,nM,0.003,IC50,nM,0.003,9,11.522878745280337,350.21900000000005
CHEMBL680021,CN(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL53711,,IC50,nM,0.006,IC50,nM,0.006,8,11.221848749616354,344.216
CHEMBL939337,CCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCC,CHEMBL35820,,IC50,nM,0.006,IC50,pM,6.0,8,11.221848749616354,388.26500000000016
CHEMBL940057,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,CHEMBL29197,,Ki,nM,0.006,Ki,pM,6.0,8,11.221848749616354,360.2110000000001
CHEMBL679944,CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL53753,,IC50,nM,0.008,IC50,nM,0.008,8,11.096910013008056,330.189
CHEMBL683040,Brc1cccc(Nc2ncnc3cc4[nH]cnc4cc23)c1,CHEMBL66031,,IC50,nM,0.008,IC50,nM,0.008,9,11.096910013008056,340.184
CHEMBL5260455,COc1cc(N2CCC(N(C)C)CC2)ccc1Nc1ncc(C(=O)Oc2ccccc2)c(-c2c[nH]c3ccccc23)n1,CHEMBL5270693,,IC50,nM,0.008,IC50,nM,0.008,9,11.096910013008056,562.6740000000002
CHEMBL5626876,COCCOc1cc2ncnc(Nc3cccc(OS(=O)(=O)F)c3)c2cc1OCCOC,CHEMBL5633067,,IC50,nM,0.009,IC50,nM,0.009,9,11.045757490560675,467.4750000000003
CHEMBL5260456,C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,CHEMBL4650319,11.00,IC50,nM,0.01,IC50,nM,0.01,9,11.0,585.709
CHEMBL4670931,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,CHEMBL1173655,,IC50,nM,0.01,IC50,nM,0.01,9,11.0,485.94700000000023
CHEMBL683040,Cn1cnc2cc3ncnc(Nc4cccc(Br)c4)c3cc21,CHEMBL176582,11.00,IC50,nM,0.01,IC50,nM,0.01,9,11.0,354.211
CHEMBL5736969,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1N1C[C@H](CN(C)C)OC1=O,CHEMBL5915655,,IC50,nM,0.015,IC50,nM,0.015,9,10.823908740944317,445.8820000000003
CHEMBL5736969,COc1cc2ncnc(Nc3ccc(Cl)c(Cl)c3F)c2cc1N1CC2(CCN(C)CC2)OC1=O,CHEMBL5874605,,IC50,nM,0.015,IC50,nM,0.015,9,10.823908740944317,506.3650000000004
CHEMBL5736969,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1N1CC2(CN(C)C2)OC1=O,CHEMBL5790648,10.80,IC50,nM,0.016,IC50,nM,0.016,9,10.795880017344073,443.8660000000003
CHEMBL5736969,CN1CCC2(CC1)CN(c1ccc3ncnc(Nc4cccc(Cl)c4F)c3c1)C(=O)O2,CHEMBL5746224,10.77,IC50,nM,0.017,IC50,nM,0.017,9,10.769551078621724,441.89400000000023
CHEMBL5736967,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1N1CC2(CCN(C)CC2)OC1=O,CHEMBL5997498,10.70,IC50,nM,0.02,IC50,nM,0.02,8,10.698970004336017,471.9200000000004
CHEMBL4670930,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,CHEMBL180022,10.70,IC50,nM,0.02,IC50,nM,0.02,9,10.698970004336017,557.054
CHEMBL5153037,Cc1cc2cc(n1)-c1cnn(C)c1OCCC[C@@H](C)CN1/C(=N/C2=O)Nc2ccc(CN3CCN(C)CC3)cc21,CHEMBL4537790,10.70,IC50,nM,0.02,IC50,nM,0.02,9,10.698970004336017,542.6880000000002
CHEMBL5736969,CCCN1CC2(C1)CN(c1cc3c(Nc4cccc(Cl)c4F)ncnc3cc1OC)C(=O)O2,CHEMBL6054692,10.68,IC50,nM,0.021,IC50,nM,0.021,9,10.677780705266079,471.9200000000002
CHEMBL5736969,CCN1CC2(C1)CN(c1cc3c(Nc4cccc(Cl)c4F)ncnc3cc1OC)C(=O)O2,CHEMBL5968640,10.66,IC50,nM,0.022,IC50,nM,0.022,9,10.657577319177792,457.89300000000026
CHEMBL683040,Cn1cnc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,CHEMBL174426,10.60,IC50,nM,0.025,IC50,nM,0.025,9,10.602059991327963,354.21100000000007
CHEMBL5255138,C=CC(=O)N1CCC(Oc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2O[C@H]2CCOC2)CC1,CHEMBL5288888,10.57,IC50,nM,0.027,IC50,nM,0.027,9,10.56863623584101,512.9690000000004
CHEMBL5260455,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,CHEMBL553,10.54,IC50,nM,0.029,IC50,nM,0.029,9,10.537602002101043,393.4430000000002
CHEMBL1249168,C#CCNC/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)c(C#N)cnc2cc1OCC,CHEMBL1243316,10.52,IC50,nM,0.03,IC50,nM,0.03,8,10.522878745280337,477.9270000000002
CHEMBL4013167,C=CC(=O)Nc1ccc(OC)c(Nc2cc(-c3[nH]c(CCCO)nc3-c3ccc(F)cc3)ccn2)c1,CHEMBL4100860,10.52,Ki,nM,0.03,Ki,nM,0.03,9,10.522878745280337,487.5350000000002
CHEMBL832761,C=CC(=O)Nc1ccc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2c1,CHEMBL363815,10.43,IC50,nM,0.037,IC50,nM,0.037,9,10.431798275933005,377.2060000000001
CHEMBL5731962,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(CC)CC4)cc3)ncc2C(F)(F)F)c1,CHEMBL5805801,10.43,Kd,nM,0.037,Kd,nM,0.037,8,10.431798275933005,511.5520000000003
CHEMBL3616083,C=CC(=O)Nc1ccc2ncnc(Nc3cc(F)c(Cl)c(Cl)c3)c2c1,CHEMBL3613702,10.43,IC50,nM,0.037,IC50,nM,0.037,9,10.431798275933005,377.2060000000001
CHEMBL5736969,COC[C@@H]1CN(c2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC)C(=O)O1,CHEMBL5993268,10.42,IC50,nM,0.038,IC50,nM,0.038,9,10.420216403383188,432.8390000000002
CHEMBL4721174,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,CHEMBL31965,10.40,IC50,nM,0.04,IC50,nM,0.04,9,10.397940008672037,485.9470000000004
CHEMBL4721173,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3OC)ncc2Cl)c1,CHEMBL1229592,10.40,IC50,nM,0.04,IC50,nM,0.04,9,10.397940008672037,494.9830000000003
CHEMBL4416109,CN(C)C/C=C/C(=O)Nc1cccc(-c2c(-c3ccccc3)oc3ncnc(N[C@H](CO)c4ccccc4)c23)c1,CHEMBL4521381,10.37,IC50,nM,0.043,IC50,nM,0.043,9,10.366531544420413,533.6320000000002
CHEMBL5117929,COc1cc(N2CCC(N3CCCN(C)CC3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3c(c2P(C)(C)=O)OCCO3)n1,CHEMBL5193123,10.30,IC50,nM,0.05,IC50,nM,0.05,9,10.30102999566398,714.646
CHEMBL5230885,CN(C)CCn1cccc1/C=N/NC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,CHEMBL5271803,10.30,IC50,nM,0.05,IC50,nM,0.05,9,10.30102999566398,581.052
CHEMBL5327353,COc1cc(N2CCC(N3CC(N(C)C)C3)CC2)c(C)cc1Nc1ncc(SC)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,CHEMBL5432965,10.30,IC50,nM,0.05,IC50,nM,0.05,9,10.30102999566398,661.817
CHEMBL5738256,COc1cc(N2CCC3(CC2)CN(CCN(C)C)C3)c(C)cc1Nc1ncc(Cl)c(Nc2ccc3ccccc3c2P(C)(C)=O)n1,CHEMBL6053582,,IC50,nM,0.051,IC50,nM,0.051,8,10.292429823902062,662.2190000000002
CHEMBL5738256,COc1cc(N2CCC3(CC2)CN(C)C3)c(C)cc1Nc1ncc(Br)c(Nc2ccc3ccccc3c2P(C)(C)=O)n1,CHEMBL5811442,10.28,IC50,nM,0.052,IC50,nM,0.052,8,10.283996656365199,649.5740000000001
CHEMBL5260455,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(C(=O)Oc2ccccc2)c(-c2cn(C)c3ccccc23)n1,CHEMBL5284924,10.28,IC50,nM,0.053,IC50,nM,0.053,9,10.27572413039921,548.6470000000003
CHEMBL5255142,C=CC(=O)N1CCC(Oc2cc3c(Nc4ccc(Cl)c(Cl)c4F)ncnc3cc2O[C@H]2CCOC2)CC1,CHEMBL5282641,10.28,IC50,nM,0.053,IC50,nM,0.053,9,10.27572413039921,547.4140000000001
CHEMBL5117929,COc1cc(N2CCC(N3CC(N(C)C)C3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,CHEMBL5186680,10.22,IC50,nM,0.06,IC50,nM,0.06,9,10.221848749616354,694.6189999999999
CHEMBL5327354,COc1cc(N2CCC(N3CC(C)(CO)C3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,CHEMBL5393923,10.22,IC50,nM,0.06,IC50,nM,0.06,9,10.221848749616354,695.6029999999998
CHEMBL5327354,COc1cc(N2CCC(N(C)CCN(C)C)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,CHEMBL5436031,10.22,IC50,nM,0.06,IC50,nM,0.06,9,10.221848749616354,696.6349999999999
CHEMBL5327353,COCC1CN(C2CCN(c3cc(OC)c(Nc4ncc(Br)c(Nc5ccc6nccnc6c5P(C)(C)=O)n4)cc3C)CC2)C1,CHEMBL5434495,10.22,IC50,nM,0.06,IC50,nM,0.06,9,10.221848749616354,695.6029999999998
CHEMBL4670931,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,CHEMBL554,10.22,IC50,nM,0.06,IC50,nM,0.06,9,10.221848749616354,581.0690000000002
CHEMBL5255138,C=CC(=O)N1CCC(Oc2cc3c(Nc4ccc(Cl)c(Cl)c4F)ncnc3cc2OC)CC1,CHEMBL3545154,10.21,IC50,nM,0.061,IC50,nM,0.061,9,10.214670164989231,491.3500000000003
CHEMBL4411959,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccc(F)cc34)n2)c(OC)cc1N(C)CCN(C)C,CHEMBL4103912,10.15,IC50,nM,0.07,IC50,nM,0.07,9,10.154901959985741,517.6090000000003
CHEMBL5327354,COc1cc(N2CCC(N3CC(C(C)(C)O)C3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,CHEMBL5399653,10.15,IC50,nM,0.07,IC50,nM,0.07,9,10.154901959985741,709.63
CHEMBL5327354,COc1cc(N2CCC(N3CCN(C(C)=O)CC3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,CHEMBL5422588,10.15,IC50,nM,0.07,IC50,nM,0.07,9,10.154901959985741,722.6289999999999
CHEMBL4670931,C=CC(=O)Nc1cc(-c2c[nH]c3ncnc(Nc4ccc5c(cnn5Cc5ccccc5)c4)c23)ccc1OCCO,CHEMBL4756368,10.15,IC50,nM,0.07,IC50,nM,0.07,9,10.154901959985741,545.6030000000002
CHEMBL832761,O=C(CCl)Nc1ccc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2c1,CHEMBL275762,10.15,IC50,nM,0.07,IC50,nM,0.07,9,10.154901959985741,399.64000000000016
CHEMBL5117930,CCOC1CN(C2CCN(c3cc(OC)c(Nc4ncc(Br)c(Nc5ccc6c(c5P(C)(C)=O)OCCO6)n4)cc3C)CC2)C1,CHEMBL5195904,10.15,IC50,nM,0.07,IC50,nM,0.07,9,10.154901959985741,701.6029999999997
CHEMBL5738105,CC(C)(O)COc1cnccc1-c1[nH]c2c(c1Nc1cccc(F)c1)C(=O)NCC2,CHEMBL5883280,,IC50,nM,0.072,IC50,nM,0.072,8,10.142667503568731,410.4490000000002
CHEMBL5738105,COC(C)(C)COc1cnccc1-c1[nH]c2c(c1Nc1cccc(F)c1)C(=O)NCC2,CHEMBL5740720,,IC50,nM,0.072,IC50,nM,0.072,8,10.142667503568731,424.47600000000017
CHEMBL5738105,COCCOc1cnccc1-c1[nH]c2c(c1Nc1cc(F)cc(F)c1)C(=O)NCC2,CHEMBL6042815,,IC50,nM,0.072,IC50,nM,0.072,8,10.142667503568731,414.41200000000015
CHEMBL5738105,COC(C)(C)COc1cnccc1-c1[nH]c2c(c1Nc1cc(F)cc(F)c1)C(=O)NCC2,CHEMBL5827952,,IC50,nM,0.072,IC50,nM,0.072,8,10.142667503568731,442.4660000000002
CHEMBL680017,COc1cc2ncnc(Nc3ccc(Br)c(Br)c3)c2cc1OC,CHEMBL327307,10.14,IC50,nM,0.072,IC50,nM,0.072,8,10.142667503568731,439.10700000000014
CHEMBL952131,COc1cc2ncnc(Nc3ccc(Br)cc3)c2cc1OC,CHEMBL328106,10.14,IC50,nM,0.07244,pIC50,,10.14,8,10.140021558357978,360.2110000000001
CHEMBL5730778,CCN1CCN(Cc2ccc(C(=O)N[C@@H]3[C@H]4Oc5ccc(Oc6ccnc7c6CNC(=O)N7)cc5[C@@H]34)cc2C(F)(F)F)CC1,CHEMBL5957231,10.12,IC50,nM,0.076,IC50,nM,0.076,8,10.119186407719209,608.6210000000003
CHEMBL5730777,CN1CCN(Cc2ccc(C(=O)N[C@@H]3[C@H]4Oc5ccc(Oc6ccnc7c6CCC(=O)N7)cc5[C@@H]34)cc2C(F)(F)F)CC1,CHEMBL5952854,10.10,IC50,nM,0.079,IC50,nM,0.079,8,10.102372908709558,593.6060000000003
CHEMBL5117930,CCc1cc(Nc2ncc(Br)c(Nc3ccc4nccnc4c3P(C)(C)=O)n2)c(OC)cc1N1CCC(N2CC(N(C)C)C2)CC1,CHEMBL5180388,10.10,IC50,nM,0.08,IC50,nM,0.08,9,10.096910013008054,708.6459999999996
CHEMBL978648,C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL285063,10.10,IC50,nM,0.08,IC50,nM,0.08,8,10.096910013008054,369.22200000000004
CHEMBL5117930,CCc1cc(Nc2ncc(Br)c(Nc3ccc4c(c3P(C)(C)=O)OCCO4)n2)c(OC)cc1N1CCC(N2CC(N(C)C)C2)CC1,CHEMBL5188940,10.10,IC50,nM,0.08,IC50,nM,0.08,9,10.096910013008054,714.6459999999997
CHEMBL5738725,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,CHEMBL1336,,IC50,nM,0.08,IC50,nM,0.08,9,10.096910013008054,464.83100000000013
CHEMBL4670931,C=CC(=O)Nc1cccc(-c2c[nH]c3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)c1,CHEMBL4787483,10.10,IC50,nM,0.08,IC50,nM,0.08,9,10.096910013008054,496.95800000000025
CHEMBL5737852,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2N(C)S(C)(=O)=O)n1,CHEMBL5596876,10.10,IC50,nM,0.08,IC50,nM,0.08,8,10.096910013008054,615.2040000000001
CHEMBL5730778,CN1CCN(Cc2ccc(C(=O)N[C@@H]3[C@H]4Oc5ccc(Oc6ccnc7c6CNC(=O)N7)cc5[C@@H]34)cc2C(F)(F)F)CC1,CHEMBL5972309,10.08,IC50,nM,0.084,IC50,nM,0.084,8,10.075720713938118,594.5940000000003
CHEMBL5738105,COCCOc1cnccc1-c1[nH]c2c(c1Nc1cccc(F)c1Br)C(=O)NCC2,CHEMBL5962943,10.07,IC50,nM,0.086,IC50,nM,0.086,8,10.065501548756432,475.31800000000015
CHEMBL944276,CN(C)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,CHEMBL53428,10.05,IC50,nM,0.08913,pIC50,,10.05,9,10.049976093476673,344.216
CHEMBL5327354,COc1cc(N2CCC(N3C[C@H]4COC[C@H]4C3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,CHEMBL5418539,10.05,IC50,nM,0.09,IC50,nM,0.09,9,10.045757490560673,707.6139999999999
CHEMBL4670931,C=CC(=O)Nc1cc(-c2c[nH]c3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)ccc1OCCN(C)C,CHEMBL4757145,10.05,IC50,nM,0.09,IC50,nM,0.09,9,10.045757490560673,584.08
CHEMBL5117930,COCC1CN(C2CCN(c3cc(OC)c(Nc4ncc(Br)c(Nc5ccc6c(c5P(C)(C)=O)OCCO6)n4)cc3C)CC2)C1,CHEMBL5188373,10.05,IC50,nM,0.09,IC50,nM,0.09,9,10.045757490560673,701.6029999999997
CHEMBL5738105,COCCOc1cnccc1-c1[nH]c2c(c1Nc1cc(F)cc(F)c1OC)C(=O)NCC2,CHEMBL5798855,10.01,IC50,nM,0.097,IC50,nM,0.097,8,10.013228265733753,444.4380000000002
CHEMBL5738105,COc1c(F)cc(F)cc1Nc1c(-c2ccncc2OCC(C)(C)OC)[nH]c2c1C(=O)NCC2,CHEMBL5942124,10.00,IC50,nM,0.099,IC50,nM,0.099,8,10.004364805402448,472.49200000000036
CHEMBL5114502,CCc1cc(Nc2ncc(Br)c(Nc3ccc4nccnc4c3P(C)(C)=O)n2)c(OC)cc1N1CCC(N2CCN(CCS(C)(=O)=O)CC2)CC1,CHEMBL5206715,10.00,IC50,nM,0.1,IC50,nM,0.1,9,10.0,800.7649999999994
CHEMBL5730778,CCN1CCN(Cc2ccc(C(=O)N[C@@H]3[C@H]4Oc5ccc(Oc6ccnc7c6CCC(=O)N7)cc5[C@@H]34)cc2C(F)(F)F)CC1,CHEMBL5875012,10.00,IC50,nM,0.1,IC50,nM,0.1,8,10.0,607.6330000000004
CHEMBL5141214,CC(C)c1cnc(N2CC(CS(C)(=O)=O)C2)c2cnc(Nc3ccnc(N4CC[C@@H](O)[C@@](C)(F)C4)n3)cc12,CHEMBL5173517,10.00,IC50,nM,0.1,IC50,nM,0.1,9,10.0,543.6690000000002
CHEMBL5117929,CCc1cc(Nc2ncc(Br)c(Nc3ccc4ncnn4c3P(C)(C)=O)n2)c(OC)cc1N1CCC(N2CC(COC)C2)CC1,CHEMBL5199678,10.00,IC50,nM,0.1,IC50,nM,0.1,9,10.0,698.6069999999996
CHEMBL677387,Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,CHEMBL420624,10.00,IC50,nM,0.1,IC50,nM,0.1,8,10.0,315.17400000000004
CHEMBL5117929,CCc1cc(Nc2ncc(Br)c(Nc3ccn4ncnc4c3P(C)(C)=O)n2)c(OC)cc1N1CCC(N2CCN(CC)CC2)CC1,CHEMBL5209094,10.00,IC50,nM,0.1,IC50,nM,0.1,9,10.0,711.6499999999994
CHEMBL4013167,C=CC(=O)Nc1ccc(OC)c(Nc2cc(-c3[nH]c(SC)nc3-c3ccc(F)cc3)ccn2)c1,CHEMBL4098072,10.00,Ki,nM,0.1,Ki,nM,0.1,9,10.0,475.5490000000001
CHEMBL2412780,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,CHEMBL939,10.00,IC50,nM,0.1,IC50,uM,0.0001,9,10.0,446.9100000000004
CHEMBL5147203,CN1CCC(c2ccc(-c3ccc4ncn(C(C(=O)Nc5nccs5)c5ccccc5)c(=O)c4c3F)cc2)CC1,CHEMBL5196360,10.00,IC50,nM,0.1,IC50,nM,0.1,9,10.0,553.663
CHEMBL5147203,CN1CCC(c2ccc(-c3ccc4c(c3)C(=O)N(C(C(=O)Nc3nccs3)c3cc(F)ccc3O)C4)cc2)CC1,CHEMBL5201543,10.00,IC50,nM,0.1,IC50,nM,0.1,9,10.0,556.6630000000001
CHEMBL5732396,C=CC(=O)N1CC(Nc2cc3c(Nc4cccc(C(C)=O)c4)ncnc3cc2OC)C1,CHEMBL5783822,10.00,IC50,nM,0.1,IC50,nM,0.1,9,10.0,417.4690000000002
CHEMBL5215199,CCCCOc1ncnc2[nH]c(-c3ccc(N4CCN(C)CC4)cc3)c(-c3cccc(NC(=O)CC)c3)c12,CHEMBL5218754,,IC50,nM,0.1,IC50,nM,0.1,9,10.0,512.6580000000004
CHEMBL5215199,CCC(=O)Nc1cccc(-c2c(-c3ccc(N4CCN(C)CC4)cc3)[nH]c3ncnc(OC(C)C)c23)c1,CHEMBL5220645,10.00,IC50,nM,0.1,IC50,nM,0.1,9,10.0,498.6310000000002
CHEMBL5215214,CCC(=O)Nc1cccc(-c2c(-c3ccc(N4CCN(C)CC4)cc3)[nH]c3ncnc(OCC(C)C)c23)c1,CHEMBL5220529,,IC50,nM,0.1,IC50,nM,0.1,9,10.0,512.6580000000002
CHEMBL4718820,COc1cc(CNCCN(C)C)ccc1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2[nH]1,CHEMBL4759003,10.00,IC50,nM,0.1,IC50,nM,0.1,9,10.0,444.5830000000001
CHEMBL4718820,COc1cc(CNCCN2CCNCC2)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,CHEMBL4742081,10.00,IC50,nM,0.1,IC50,nM,0.1,9,10.0,501.63500000000016
CHEMBL4718820,CN(C)CCNCc1ccc(-c2cc3c(N[C@H](CO)c4ccccc4)ncnc3[nH]2)cc1F,CHEMBL4748367,10.00,IC50,nM,0.1,IC50,nM,0.1,9,10.0,448.5460000000001
CHEMBL4718820,COc1cc(CN(C)CCN(C)C)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,CHEMBL4784258,10.00,IC50,nM,0.1,IC50,nM,0.1,9,10.0,474.60900000000015
CHEMBL4718820,COc1cc(CNCCN2CCCCC2)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,CHEMBL4778248,10.00,IC50,nM,0.1,IC50,nM,0.1,9,10.0,500.6470000000001
CHEMBL4718820,COc1cc(CNCCN2CCOCC2)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,CHEMBL4787951,10.00,IC50,nM,0.1,IC50,nM,0.1,9,10.0,502.61900000000014
CHEMBL1105216,CCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL188762,10.00,IC50,nM,0.1,IC50,nM,0.1,8,10.0,371.238
CHEMBL5737544,CC(=O)N1CCC(c2ccc3c(c2)[nH]/c(=N\C(=O)c2ccnc(-c4cnn(C)c4)c2)n3[C@H]2CC[C@@H](O)CC2)CC1,CHEMBL5755058,10.00,IC50,nM,0.1,IC50,nM,0.1,8,10.0,541.6560000000002
CHEMBL5327353,COc1cc(N2CCC(N3CC(F)(CO)C3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,CHEMBL5415311,10.00,IC50,nM,0.1,IC50,nM,0.1,9,10.0,699.5659999999999
CHEMBL5327354,CCc1cc(Nc2ncc(C(F)(F)F)c(Nc3ccc4nccnc4c3P(C)(C)=O)n2)c(OC)cc1N1CCC(N2CC(N(C)C)C2)CC1,CHEMBL5425947,10.00,IC50,nM,0.1,IC50,nM,0.1,9,10.0,697.7469999999996
CHEMBL5737859,COc1cc(N2CCC(N3CCNCC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2NS(C)(=O)=O)n1,CHEMBL5996490,10.00,IC50,nM,0.1,IC50,nM,0.1,8,10.0,587.15
CHEMBL4718820,CCOc1ccccc1-c1cc2c(N[C@H](CCO)c3ccccc3)ncnc2[nH]1,CHEMBL4760328,10.00,IC50,nM,0.1,IC50,nM,0.1,9,10.0,388.471
CHEMBL832761,CN(C)C/C=C/C(=O)Nc1ccc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2c1,CHEMBL190094,9.96,IC50,nM,0.11,IC50,nM,0.11,9,9.958607314841775,434.3020000000002
CHEMBL5216306,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,CHEMBL941,9.96,IC50,nM,0.11,IC50,nM,0.11,9,9.958607314841775,493.6150000000002
CHEMBL5738105,COc1c(F)cccc1Nc1c(-c2ccncc2OCC(C)(C)OC)[nH]c2c1C(=O)NCC2,CHEMBL5405163,9.95,IC50,nM,0.113,IC50,nM,0.113,8,9.946921556516578,454.5020000000003
CHEMBL5736969,CC(C)N1CC2(CN(c3ccc4ncnc(Nc5cccc(Cl)c5F)c4c3)C(=O)O2)C1,CHEMBL5786982,9.94,IC50,nM,0.114,IC50,nM,0.114,9,9.943095148663527,441.89400000000023
CHEMBL5117929,COc1cc(N2CCC(N3CC[C@H](N(C)C)C3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3c(c2P(C)(C)=O)OCCO3)n1,CHEMBL5193149,9.92,IC50,nM,0.12,IC50,nM,0.12,9,9.920818753952375,714.646
CHEMBL832761,O=C(CCl)Nc1ccc2ncnc(Nc3cccc(I)c3)c2c1,CHEMBL193160,9.92,IC50,nM,0.12,IC50,nM,0.12,9,9.920818753952375,438.65600000000006
CHEMBL5327353,COc1cc(N2CCC(N3CC(CC#N)C3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,CHEMBL5397801,9.92,IC50,nM,0.12,IC50,nM,0.12,9,9.920818753952375,690.5869999999999
CHEMBL677204,Nc1cc2ncnc(Nc3cccc(Br)c3)c2cc1N,CHEMBL328216,9.92,IC50,nM,0.12,IC50,nM,0.12,8,9.920818753952375,330.1890000000001
CHEMBL3870704,O=C(CCCCCCn1cc(-c2ccc3ncnc(Nc4cccc(Cl)c4F)c3c2)nn1)NO,CHEMBL3930620,9.92,IC50,nM,0.12,IC50,nM,0.12,9,9.920818753952375,483.9350000000002
CHEMBL5738105,COCCOc1cnccc1-c1[nH]c2c(c1Nc1cccc(F)c1OC(F)F)C(=O)NCC2,CHEMBL5874668,9.92,IC50,nM,0.12,IC50,nM,0.12,8,9.920818753952375,462.42800000000017
CHEMBL5117930,CCc1cc(Nc2ncc(Br)c(Nc3ccc4c(c3P(C)(C)=O)OCCO4)n2)c(OC)cc1N1CCC(N2CC(COC)C2)CC1,CHEMBL5197545,9.92,IC50,nM,0.12,IC50,nM,0.12,9,9.920818753952375,715.6299999999998
