canonical_smiles,molecule_chembl_id,pchembl_value,standard_type,standard_units,standard_value,type,units,value
C=CC(=O)Nc1cccc(Oc2nc(Nc3cccc(OC)c3)ncc2C(N)=O)c1,CHEMBL5998185,,kon,,,kon,M-1-s-1,
C=CC(=O)Nc1cccc(Oc2nc(Nc3cccc(OC)c3)ncc2C(N)=O)c1,CHEMBL5998185,,k_off,s-1,,koff,s-1,
C=CC(=O)N1CCCC(Oc2nc(Nc3cccc(OC)c3)ncc2F)C1,CHEMBL5785500,,IC50,nM,2000.0,IC50,nM,2000.0
C=CC(=O)N1CCCC(Oc2nc(Nc3cccc(OC)c3)ncc2F)C1,CHEMBL5785500,,kon,,,kon,M-1-s-1,
C=CC(=O)N1CCCC(Oc2nc(Nc3cccc(OC)c3)ncc2F)C1,CHEMBL5785500,,k_off,s-1,,koff,s-1,
C=CC(=O)N1CCCC(Oc2nc(Nc3ccc(OC)nc3)ncc2F)C1,CHEMBL6033743,,IC50,nM,1000.0,IC50,nM,1000.0
C=CC(=O)N1CCCC(Oc2nc(Nc3ccc(OC)nc3)ncc2F)C1,CHEMBL6033743,,kon,,,kon,M-1-s-1,
C=CC(=O)N1CCCC(Oc2nc(Nc3ccc(OC)nc3)ncc2F)C1,CHEMBL6033743,,k_off,s-1,,koff,s-1,
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc4c(c3)CC(=O)N4)ncc2F)c1,CHEMBL5922175,,IC50,nM,100.0,IC50,nM,100.0
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc4c(c3)CC(=O)N4)ncc2F)c1,CHEMBL5922175,,kon,,,kon,M-1-s-1,
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc4c(c3)CC(=O)N4)ncc2F)c1,CHEMBL5922175,,k_off,s-1,,koff,s-1,
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCCOC)cc3)ncc2F)c1,CHEMBL3301625,,IC50,nM,100.0,IC50,nM,100.0
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCCOC)cc3)ncc2F)c1,CHEMBL3301625,,kon,,,kon,M-1-s-1,
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCCOC)cc3)ncc2F)c1,CHEMBL3301625,,k_off,s-1,,koff,s-1,
