canonical_smiles,molecule_chembl_id,pchembl_value,standard_type,standard_units,standard_value,type,units,value
Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,CHEMBL68920,7.39,IC50,nM,41.0,IC50,uM,0.041
Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,CHEMBL68920,7.39,IC50,nM,41.0,IC50,uM,0.041
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL69960,6.77,IC50,nM,170.0,IC50,uM,0.17
CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12,CHEMBL137635,5.03,IC50,nM,9300.0,IC50,uM,9.3
CC(=C(C#N)C#N)c1ccc(NC(=O)CCC(=O)O)cc1,CHEMBL306988,,IC50,nM,500000.0,IC50,uM,500.0
CC(=C(C#N)C#N)c1ccc(NC(=O)CCC(=O)O)cc1,CHEMBL306988,,Ki,nM,,Ki,uM,
O=C(O)/C=C/c1ccc(O)cc1,CHEMBL66879,,IC50,nM,3000000.0,IC50,uM,3000.0
O=C(O)/C=C/c1ccc(O)cc1,CHEMBL66879,,Ki,nM,1000000.0,Ki,uM,1000.0
N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-],CHEMBL77085,4.02,IC50,nM,96000.0,IC50,uM,96.0
N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-],CHEMBL77085,4.62,Ki,nM,24000.0,Ki,uM,24.0
Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)N(C)c2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL443268,5.28,IC50,nM,5310.0,IC50,uM,5.31
COc1cc(/C=C(\C#N)C(=O)O)cc(OC)c1O,CHEMBL76979,,IC50,nM,264000.0,IC50,uM,264.0
COc1cc(/C=C(\C#N)C(=O)O)cc(OC)c1O,CHEMBL76979,,Ki,nM,700000.0,Ki,uM,700.0
N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1,CHEMBL76589,6.9,IC50,nM,125.0,IC50,uM,0.125
N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1,CHEMBL76589,,Ki,nM,,Ki,uM,
COc1cc(C=C(C#N)C#N)cc(OC)c1,CHEMBL77724,,IC50,nM,1250000.0,IC50,uM,1250.0
COc1cc(C=C(C#N)C#N)cc(OC)c1,CHEMBL77724,,Ki,nM,400000.0,Ki,uM,400.0
N#CC(C#N)=Cc1ccc(N2CCOCC2)cc1,CHEMBL420385,,IC50,nM,625000.0,IC50,uM,625.0
N#CC(C#N)=Cc1ccc(N2CCOCC2)cc1,CHEMBL420385,,Ki,nM,250000.0,Ki,uM,250.0
N#CC(C#N)=Cc1ccc(O)c(O)c1,CHEMBL76904,4.46,IC50,nM,35000.0,IC50,uM,35.0
N#CC(C#N)=Cc1ccc(O)c(O)c1,CHEMBL76904,4.96,Ki,nM,11000.0,Ki,uM,11.0
N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,CHEMBL1009,,IC50,nM,900000.0,IC50,uM,900.0
N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,CHEMBL1009,,Ki,nM,,Ki,uM,
CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,CHEMBL304271,9.35,IC50,nM,0.45,IC50,uM,0.00045
N#C/C(=C\c1ccc(O)c(O)c1)C(N)=O,CHEMBL296407,5.0,IC50,nM,10000.0,IC50,uM,10.0
N#C/C(=C\c1ccc(O)c(O)c1)C(N)=O,CHEMBL296407,5.46,Ki,nM,3500.0,Ki,uM,3.5
N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c([N+](=O)[O-])c1,CHEMBL309625,4.22,IC50,nM,60000.0,IC50,uM,60.0
COc1ccc(NN=C(C#N)C#N)cc1,CHEMBL77825,,IC50,nM,600000.0,IC50,uM,600.0
COc1ccc(NN=C(C#N)C#N)cc1,CHEMBL77825,,Ki,nM,,Ki,uM,
COc1cc(C=C(C#N)C#N)cc(OC)c1O,CHEMBL421877,,IC50,nM,850000.0,IC50,uM,850.0
COc1cc(C=C(C#N)C#N)cc(OC)c1O,CHEMBL421877,,Ki,nM,300000.0,Ki,uM,300.0
Cc1ccc(/C=C(\C#N)C(=O)O)cc1,CHEMBL77278,,Ki,nM,1350000.0,Ki,uM,1350.0
N#CC(C#N)=Cc1cc(O)c(O)c(O)c1,CHEMBL310798,5.52,IC50,nM,3000.0,IC50,uM,3.0
N#CC(C#N)=Cc1cc(O)c(O)c(O)c1,CHEMBL310798,6.0,Ki,nM,1000.0,Ki,uM,1.0
C/N=N/Nc1ccc2ncnc(N(C)c3ccccc3)c2c1,CHEMBL135592,5.1,IC50,nM,8000.0,IC50,uM,8.0
N#C/C(=C\c1ccc([N+](=O)[O-])cc1)C(=O)O,CHEMBL309866,,IC50,nM,1300000.0,IC50,uM,1300.0
N#C/C(=C/c1ccc[nH]1)C(=O)O,CHEMBL77381,,IC50,nM,1360000.0,IC50,uM,1360.0
N#C/C(=C/c1ccc[nH]1)C(=O)O,CHEMBL77381,,Ki,nM,,Ki,uM,
N#C/C(=C\c1ccc(O)cc1)C(=O)O,CHEMBL76602,,IC50,nM,165000.0,IC50,uM,165.0
N#C/C(=C\c1ccc(O)cc1)C(=O)O,CHEMBL76602,,Ki,nM,308000.0,Ki,uM,308.0
N#CC(C#N)=Cc1ccncc1,CHEMBL77737,,IC50,nM,250000.0,IC50,uM,250.0
N#CC(C#N)=Cc1ccncc1,CHEMBL77737,,Ki,nM,,Ki,uM,
N#CC(C#N)=Cc1ccc(F)cc1,CHEMBL76983,,IC50,nM,1250000.0,IC50,uM,1250.0
N#CC(C#N)=Cc1ccc(F)cc1,CHEMBL76983,,Ki,nM,400000.0,Ki,uM,400.0
N#CC(C#N)=Cc1ccc(O)c([N+](=O)[O-])c1,CHEMBL308134,,IC50,nM,125000.0,IC50,uM,125.0
N#CC(C#N)=Cc1ccc(O)c([N+](=O)[O-])c1,CHEMBL308134,4.31,Ki,nM,49000.0,Ki,uM,49.0
CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,CHEMBL136491,7.85,IC50,nM,14.0,IC50,uM,0.014
CC(=C(C#N)C#N)c1ccc(N)cc1,CHEMBL77280,,IC50,nM,1250000.0,IC50,uM,1250.0
O=[N+]([O-])c1ccc(O)c(O)c1,CHEMBL42423,,IC50,nM,,IC50,uM,
O=[N+]([O-])c1ccc(O)c(O)c1,CHEMBL42423,,Ki,nM,,Ki,uM,
N#CCNC(=O)/C(C#N)=C/c1ccc(O)cc1,CHEMBL76557,,IC50,nM,625000.0,IC50,uM,625.0
N#CCNC(=O)/C(C#N)=C/c1ccc(O)cc1,CHEMBL76557,,Ki,nM,360000.0,Ki,uM,360.0
Cc1cccc(Nc2ncnc3ccc(N)cc23)c1,CHEMBL336113,6.0,IC50,nM,1000.0,IC50,uM,1.0
C/N=N/Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,CHEMBL133024,7.0,IC50,nM,100.0,IC50,uM,0.1
CN(C)/N=N/c1ccc2ncnc(N(C)c3ccccc3)c2c1,CHEMBL344652,4.88,IC50,nM,13350.0,IC50,uM,13.35
N#CC(C#N)=CNc1ccc(O)cc1,CHEMBL77814,,IC50,nM,350000.0,IC50,uM,350.0
O=CN/C=C/c1cc(O)ccc1O,CHEMBL47986,4.85,IC50,nM,14000.0,IC50,uM,14.0
O=C(O)c1ccc(O)cc1,CHEMBL441343,,IC50,nM,,IC50,uM,
O=C(O)c1ccc(O)cc1,CHEMBL441343,,Ki,nM,,Ki,uM,
Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccn4)cc23)c1,CHEMBL138125,6.62,IC50,nM,238.0,IC50,uM,0.238
Brc1cccc(Nc2ncnc3ccc(N/N=N/CCN4CCOCC4)cc23)c1,CHEMBL137364,7.19,IC50,nM,64.0,IC50,uM,0.064
N#CC(C#N)=C1C(=O)NC(=O)NC1=O,CHEMBL308339,,IC50,nM,1400000.0,IC50,uM,1400.0
N#CC(C#N)=Cc1ccc(C(=O)O)cc1,CHEMBL78174,,IC50,nM,430000.0,IC50,uM,430.0
N#CC(C#N)=Cc1ccc(C(=O)O)cc1,CHEMBL78174,,Ki,nM,143000.0,Ki,uM,143.0
O=C1Nc2ncnc(Nc3ccc(F)c(Cl)c3)c2/C1=C/c1ccc(C(=O)NCCN2CCOCC2)[nH]1,CHEMBL302552,7.66,IC50,nM,22.0,IC50,uM,0.022
N#CC(C#N)=C(O)c1cc(O)c(O)c(O)c1,CHEMBL309598,4.87,IC50,nM,13500.0,IC50,uM,13.5
N#CC(C#N)=C(O)c1cc(O)c(O)c(O)c1,CHEMBL309598,5.35,Ki,nM,4500.0,Ki,uM,4.5
COc1ccc(C=C(C#N)C#N)cc1O,CHEMBL78302,,IC50,nM,250000.0,IC50,uM,250.0
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,CHEMBL67057,8.35,IC50,nM,4.5,IC50,uM,0.0045
Nc1ccc2ncnc(NCc3ccccc3)c2c1,CHEMBL332096,6.29,IC50,nM,508.0,IC50,uM,0.508
N#CC(C#N)=Cc1ccc([N+](=O)[O-])c(O)c1,CHEMBL77387,,IC50,nM,450000.0,IC50,uM,450.0
N#CC(C#N)=Cc1ccc([N+](=O)[O-])c(O)c1,CHEMBL77387,,Ki,nM,150000.0,Ki,uM,150.0
CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)c1C,CHEMBL432903,6.7,IC50,nM,200.0,IC50,uM,0.2
Cc1cc(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]c1C(=O)N1CCN(C)CC1,CHEMBL69964,6.68,IC50,nM,210.0,IC50,uM,0.21
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(c3)CCC4)c21,CHEMBL65848,5.85,IC50,nM,1410.0,IC50,uM,1.41
Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCC(O)C1,CHEMBL69129,,IC50,nM,,IC50,uM,
N#C/C(=C\c1ccc(F)cc1)C(=O)O,CHEMBL78184,,IC50,nM,833000.0,IC50,uM,833.0
N#C/C(=C\c1ccc(F)cc1)C(=O)O,CHEMBL78184,,Ki,nM,2500000.0,Ki,uM,2500.0
N#C/C(=C\c1ccc(C=O)cc1)C(=O)O,CHEMBL76985,4.33,IC50,nM,47000.0,IC50,uM,47.0
N#C/C(=C\c1ccc(C=O)cc1)C(=O)O,CHEMBL76985,,Ki,nM,140000.0,Ki,uM,140.0
O=C(O)/C=C/c1ccc(O)c(O)c1,CHEMBL145,,IC50,nM,1200000.0,IC50,uM,1200.0
O=C(O)/C=C/c1ccc(O)c(O)c1,CHEMBL145,,Ki,nM,400000.0,Ki,uM,400.0
Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL69629,8.19,IC50,nM,6.5,IC50,uM,0.0065
CN(c1ccccc1)c1ncnc2ccc(N)cc12,CHEMBL136492,5.08,IC50,nM,8400.0,IC50,uM,8.4
COc1cc(/C(C)=C(\C#N)C(=O)O)ccc1O,CHEMBL77197,,IC50,nM,1100000.0,IC50,uM,1100.0
COc1cc(/C(C)=C(\C#N)C(=O)O)ccc1O,CHEMBL77197,,Ki,nM,341000.0,Ki,uM,341.0
N#CC(C#N)=Cc1ccc(O)cc1,CHEMBL305695,,IC50,nM,560000.0,IC50,uM,560.0
N#CC(C#N)=Cc1ccc(O)cc1,CHEMBL305695,,Ki,nM,160000.0,Ki,uM,160.0
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(N3CCCCC3)c21,CHEMBL68258,,IC50,nM,20000.0,IC50,uM,20.0
N#CC(C#N)Cc1ccc(O)cc1,CHEMBL76587,,IC50,nM,6500000.0,IC50,uM,6500.0
N#CC(C#N)Cc1ccc(O)cc1,CHEMBL76587,,Ki,nM,,Ki,uM,
COc1ccc(C=C(C#N)C#N)cc1,CHEMBL77456,,IC50,nM,1250000.0,IC50,uM,1250.0
COc1ccc(C=C(C#N)C#N)cc1,CHEMBL77456,,Ki,nM,400000.0,Ki,uM,400.0
CCN1CCN(C(=O)c2cc(C)c(/C=C3\C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c43)[nH]2)CC1,CHEMBL66570,7.89,IC50,nM,13.0,IC50,uM,0.013
N#C/C(=C\c1ccc(O)cc1)C(N)=O,CHEMBL308048,,IC50,nM,800000.0,IC50,uM,800.0
N#CC(C#N)=Cc1ccc(C=O)cc1,CHEMBL311119,4.22,IC50,nM,60000.0,IC50,uM,60.0
N#CC(C#N)=Cc1ccc(C=O)cc1,CHEMBL311119,4.7,Ki,nM,20000.0,Ki,uM,20.0
N#CC(C#N)=Cc1cc(O)cc(O)c1,CHEMBL76905,4.43,IC50,nM,37000.0,IC50,uM,37.0
N#CC(C#N)=Cc1cc(O)cc(O)c1,CHEMBL76905,5.0,Ki,nM,10000.0,Ki,uM,10.0
COc1ccc(/C=C(\C#N)C(=O)O)cc1,CHEMBL77524,,IC50,nM,833000.0,IC50,uM,833.0
COc1ccc(/C=C(\C#N)C(=O)O)cc1,CHEMBL77524,,Ki,nM,2500000.0,Ki,uM,2500.0
Cc1cc(C(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL305194,7.54,IC50,nM,29.0,IC50,uM,0.029
COc1cc(/C=C(\C#N)C(=O)O)ccc1O,CHEMBL307250,,IC50,nM,325000.0,IC50,uM,325.0
COc1cc(/C=C(\C#N)C(=O)O)ccc1O,CHEMBL307250,,Ki,nM,800000.0,Ki,uM,800.0
COc1cc(C=C(C#N)C#N)cc(O)c1O,CHEMBL80155,5.22,IC50,nM,6000.0,IC50,uM,6.0
COc1cc(C=C(C#N)C#N)cc(O)c1O,CHEMBL80155,5.66,Ki,nM,2200.0,Ki,uM,2.2
Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,CHEMBL343352,6.7,IC50,nM,200.0,IC50,uM,0.2
Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL52765,7.36,IC50,nM,44.0,IC50,uM,0.044
CN(C)c1ccc(/C=C(\C#N)C(=O)O)cc1,CHEMBL77436,,IC50,nM,,IC50,uM,
CN(C)c1ccc(/C=C(\C#N)C(=O)O)cc1,CHEMBL77436,,Ki,nM,1400000.0,Ki,uM,1400.0
COc1ccc(C(O)=C(C#N)C#N)cc1,CHEMBL311564,,IC50,nM,450000.0,IC50,uM,450.0
N#C/C(=C/c1cc(O)ccc1O)C(=O)O,CHEMBL76642,4.12,IC50,nM,75000.0,IC50,uM,75.0
N#C/C(=C/c1cc(O)ccc1O)C(=O)O,CHEMBL76642,4.62,Ki,nM,24000.0,Ki,uM,24.0
Cc1cc(CCC(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL308645,8.33,IC50,nM,4.7,IC50,uM,0.0047
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c21,CHEMBL67003,8.74,IC50,nM,1.8,IC50,uM,0.0018
N#CC(C#N)=Cc1ccc(NC(=O)CCC(=O)O)cc1,CHEMBL307248,,IC50,nM,640000.0,IC50,uM,640.0
N#CC(C#N)=Cc1ccc(NC(=O)CCC(=O)O)cc1,CHEMBL307248,,Ki,nM,240000.0,Ki,uM,240.0
N#CC(C#N)=NNc1ccc(O)cc1,CHEMBL310958,,IC50,nM,225000.0,IC50,uM,225.0
N#CC(C#N)=Cc1ccc2c(c1)OCO2,CHEMBL78005,,IC50,nM,350000.0,IC50,uM,350.0
N#CC(C#N)=Cc1ccc2c(c1)OCO2,CHEMBL78005,,Ki,nM,117000.0,Ki,uM,117.0
CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL134312,7.96,IC50,nM,11.0,IC50,uM,0.011
CCCCc1cc(/C=C(\C#N)C(N)=O)cc(CCCC)c1O,CHEMBL77243,4.26,IC50,nM,55000.0,IC50,uM,55.0
COc1cc(/C=C(\C#N)C(N)=C(C#N)C#N)cc(O)c1O,CHEMBL80745,5.92,IC50,nM,1200.0,IC50,uM,1.2
COc1cc(/C=C(\C#N)C(N)=C(C#N)C#N)cc(O)c1O,CHEMBL80745,,Ki,nM,,Ki,uM,
N#CC(C#N)=Cc1ccc(/C=C/C(=O)O)cc1,CHEMBL77778,,IC50,nM,450000.0,IC50,uM,450.0
N#CC(C#N)=Cc1ccc(/C=C/C(=O)O)cc1,CHEMBL77778,,Ki,nM,150000.0,Ki,uM,150.0
Cc1cc(C(=O)N2CCN(C)CC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL305246,8.55,IC50,nM,2.8,IC50,uM,0.0028
C#Cc1cccc(Nc2ncnc3c2/C(=C/c2[nH]c(C(=O)NCCN4CCOCC4)cc2C)C(=O)N3)c1,CHEMBL69966,7.75,IC50,nM,18.0,IC50,uM,0.018
Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCCC1,CHEMBL47940,5.5,IC50,nM,3200.0,IC50,uM,3.2
N#CC(C#N)=Cc1cc[n+]([O-])cc1,CHEMBL57712,,IC50,nM,1300000.0,IC50,uM,1300.0
COc1cc(C=C(C#N)C#N)ccc1O,CHEMBL77869,,IC50,nM,200000.0,IC50,uM,200.0
COc1cc(C=C(C#N)C#N)ccc1O,CHEMBL77869,4.17,Ki,nM,67000.0,Ki,uM,67.0
CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,CHEMBL69358,8.92,IC50,nM,1.2,IC50,uM,0.0012
C/N=N/Nc1ccc2ncnc(Nc3cccc(C)c3)c2c1,CHEMBL137189,6.7,IC50,nM,200.0,IC50,uM,0.2
C/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL137617,7.41,IC50,nM,39.0,IC50,uM,0.039
CN(C)/N=N/c1ccc2ncnc(NCc3ccccc3)c2c1,CHEMBL137027,6.32,IC50,nM,482.0,IC50,uM,0.482
N#CC(C#N)=C(N)/C(C#N)=C/c1cc(O)c(O)c(O)c1,CHEMBL78257,6.1,IC50,nM,800.0,IC50,uM,0.8
N#CC(C#N)=C(N)/C(C#N)=C/c1cc(O)c(O)c(O)c1,CHEMBL78257,,Ki,nM,,Ki,uM,
N#CC(C#N)=Cc1cc2c(cc1[N+](=O)[O-])OCO2,CHEMBL76082,,IC50,nM,560000.0,IC50,uM,560.0
N#C/C(=C\c1ccccc1)C(=O)O,CHEMBL77595,,IC50,nM,850000.0,IC50,uM,850.0
N#C/C(=C\c1ccccc1)C(=O)O,CHEMBL77595,,Ki,nM,2500000.0,Ki,uM,2500.0
N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c(O)c1,CHEMBL309334,5.6,IC50,nM,2500.0,IC50,uM,2.5
N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c(O)c1,CHEMBL309334,,Ki,nM,,Ki,uM,
N#CC(C#N)=Cc1ccc[nH]1,CHEMBL310514,,IC50,nM,260000.0,IC50,uM,260.0
Cc1c(C(=O)N2CCN(C)CC2)c[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL304971,6.39,IC50,nM,410.0,IC50,uM,0.41
Cc1cc(C(=O)N2CC(C)NC(C)C2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL69071,8.23,IC50,nM,5.9,IC50,uM,0.0059
CN(C)CC/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL137534,7.42,IC50,nM,38.0,IC50,uM,0.038
C/N=N/Nc1ccc2ncnc(NCc3ccccc3)c2c1,CHEMBL137788,6.47,IC50,nM,335.0,IC50,uM,0.335
Cc1cc(C)c(/C=C2\C(=O)N(C)c3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,CHEMBL69709,,IC50,nM,20000.0,IC50,uM,20.0
Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccc4)cc23)c1,CHEMBL424093,7.6,IC50,nM,25.0,IC50,uM,0.025
N#C/C(=C\c1ccc(O)c(O)c1)C(N)=S,CHEMBL77030,5.62,IC50,nM,2400.0,IC50,uM,2.4
N#C/C(=C\c1ccc(O)c(O)c1)C(N)=S,CHEMBL77030,6.07,Ki,nM,850.0,Ki,uM,0.85
CC(C)(C)c1cc(C=C(C#N)C#N)cc(C(C)(C)C)c1O,CHEMBL78150,,IC50,nM,460000.0,IC50,uM,460.0
CC(C)(C)c1cc(C=C(C#N)C#N)cc(C(C)(C)C)c1O,CHEMBL78150,,Ki,nM,155000.0,Ki,uM,155.0
O=C1Nc2ncnc(Nc3ccc(F)c(Cl)c3)c2/C1=C/c1ccc[nH]1,CHEMBL69106,,IC50,nM,20000.0,IC50,uM,20.0
Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,CHEMBL264382,8.96,IC50,nM,1.1,IC50,uM,0.0011
O=C(O)C(=Cc1ccc(O)cc1)C(=O)O,CHEMBL308133,,IC50,nM,1500000.0,IC50,uM,1500.0
O=C(O)C(=Cc1ccc(O)cc1)C(=O)O,CHEMBL308133,,Ki,nM,,Ki,uM,
COc1cc(C=C(C#N)C#N)cc([N+](=O)[O-])c1O,CHEMBL307179,,IC50,nM,160000.0,IC50,uM,160.0
COc1cc(C=C(C#N)C#N)cc([N+](=O)[O-])c1O,CHEMBL307179,4.26,Ki,nM,55000.0,Ki,uM,55.0
Cc1[nH]c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)c(C)c1CCC(=O)O,CHEMBL305782,6.75,IC50,nM,180.0,IC50,uM,0.18
CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(Cl)cc4F)c32)[nH]1,CHEMBL308672,6.35,IC50,nM,450.0,IC50,uM,0.45
Cc1cccc(Nc2ncnc3ccc(/N=N/N(C)C)cc23)c1,CHEMBL133023,7.62,IC50,nM,24.0,IC50,uM,0.024
N#CC(C#N)=Cc1cccc(O)c1,CHEMBL310400,,IC50,nM,375000.0,IC50,uM,375.0
N#CC(C#N)=Cc1cccc(O)c1,CHEMBL310400,,Ki,nM,123000.0,Ki,uM,123.0
COCC/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL136674,7.15,IC50,nM,71.0,IC50,uM,0.071
N#C/C(=C\c1ccc(O)c(O)c1)C(=O)O,CHEMBL73820,4.6,IC50,nM,25000.0,IC50,uM,25.0
N#C/C(=C\c1ccc(O)c(O)c1)C(=O)O,CHEMBL73820,4.16,Ki,nM,70000.0,Ki,uM,70.0
N#CC(C#N)=C(O)c1ccc(O)cc1,CHEMBL79064,,IC50,nM,230000.0,IC50,uM,230.0
N#CC(C#N)=C(N)/C(C#N)=C/c1cc(O)c(O)c(Br)c1,CHEMBL77803,6.3,IC50,nM,500.0,IC50,uM,0.5
N#C/C=C/c1ccc(O)cc1,CHEMBL75718,,IC50,nM,2400000.0,IC50,uM,2400.0
COc1cc(C=C(C#N)C#N)cc(Br)c1O,CHEMBL77298,,IC50,nM,153000.0,IC50,uM,153.0
COc1cc(C=C(C#N)C#N)cc(Br)c1O,CHEMBL77298,4.3,Ki,nM,50000.0,Ki,uM,50.0
COc1cccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]c3c(c2CCC(=O)O)CCCC3)c1,CHEMBL432941,5.05,IC50,nM,8880.0,IC50,uM,8.88
COc1ccc2c(c1)NC(=O)/C2=C\c1[nH]c2c(c1CCC(=O)O)CCCC2,CHEMBL420609,,IC50,nM,100000.0,IC50,uM,100.0
COc1cccc(-c2ccc3c(c2)NC(=O)/C3=C\c2cc3c([nH]2)CCCC3)c1,CHEMBL419682,,IC50,nM,100000.0,IC50,uM,100.0
COc1cc(Nc2c(C#N)cnc3cc(-c4ccc(CN5CCOCC5)cc4)ccc23)c(Cl)cc1Cl,CHEMBL322395,5.52,IC50,nM,3000.0,IC50,nM,3000.0
COc1ccccc1-c1ccc2c(c1)NC(=O)/C2=C\c1cc2c([nH]1)CCCC2,CHEMBL88462,,IC50,nM,100000.0,IC50,uM,100.0
O=C(O)CCc1c(/C=C2\C(=O)Nc3ccc(C(=O)O)cc32)[nH]c2c1CCCC2,CHEMBL431996,4.25,IC50,nM,56500.0,IC50,uM,56.5
COc1ccc2c(c1)NC(=O)/C2=C\c1cc2c([nH]1)CCCC2,CHEMBL91250,,IC50,nM,100000.0,IC50,uM,100.0
O=C(O)CCc1c(/C=C2\C(=O)Nc3cc(-c4ccccc4)ccc32)[nH]c2c1CCCC2,CHEMBL88771,,IC50,nM,100000.0,IC50,uM,100.0
COc1ccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]c3c(c2CCC(=O)O)CCCC3)cc1,CHEMBL91815,,IC50,nM,100000.0,IC50,uM,100.0
O=C1Nc2ccccc2/C1=C/c1cc2c([nH]1)CCCC2,CHEMBL328029,,IC50,nM,100000.0,IC50,uM,100.0
O=C(O)CCc1c(/C=C2\C(=O)Nc3ccc(Br)cc32)[nH]c2c1CCCC2,CHEMBL314995,,IC50,nM,100000.0,IC50,uM,100.0
NS(=O)(=O)c1ccc2c(c1)/C(=C/c1cc3c([nH]1)CCCC3)C(=O)N2,CHEMBL88483,,IC50,nM,100000.0,IC50,uM,100.0
O=C1Nc2cc(-c3ccccc3)ccc2/C1=C/c1cc2c([nH]1)CCCC2,CHEMBL313746,,IC50,nM,100000.0,IC50,uM,100.0
Cc1c[nH]c(/C=C2\C(=O)Nc3ccccc32)c1CCC(=O)O,CHEMBL89363,,IC50,nM,100000.0,IC50,uM,100.0
Cc1cc(C)c(/C=C2\C(=O)Nc3ccccc32)[nH]1,CHEMBL276711,,IC50,nM,100000.0,IC50,uM,100.0
COc1ccc(-c2ccc3c(c2)NC(=O)/C3=C\c2cc3c([nH]2)CCCC3)cc1,CHEMBL313500,,IC50,nM,100000.0,IC50,uM,100.0
O=C1Nc2ccc(C(=O)O)cc2/C1=C/c1cc2c([nH]1)CCCC2,CHEMBL89010,,IC50,nM,100000.0,IC50,uM,100.0
NS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]c3c(c1CCC(=O)O)CCCC3)C(=O)N2,CHEMBL86531,4.54,IC50,nM,29100.0,IC50,uM,29.1
O=C(O)CCc1c(/C=C2\C(=O)Nc3ccccc32)[nH]c2c1CCCC2,CHEMBL315753,,IC50,nM,100000.0,IC50,uM,100.0
O=C1Nc2ccc(Br)cc2/C1=C/c1cc2c([nH]1)CCCC2,CHEMBL88606,,IC50,nM,100000.0,IC50,uM,100.0
